customer_id,age,gender,region,city_tier,employment_status,employment_length_years,annual_income,credit_score,housing_status,marital_status,existing_debts_count
CUST-100043,33,Male,North,Tier 3,Salaried - Corporate,2.0,50504.02,686,Family Owned,Married,3
CUST-100044,22,Male,South,Tier 2,Salaried - Corporate,,35565.36,726,Rented,Single,2
CUST-100045,29,Male,South,Tier 2,Salaried - Corporate,5.0,28718.91,634,Rented,Married,1
CUST-100046,32,Female,North,Tier 1,Contractual,4.0,21020.55,562,Mortgaged,Married,4
CUST-100047,47,Male,East,Tier 1,Salaried - Corporate,11.0,57333.77,771,Rented,Married,1
CUST-100048,40,Female,South,Tier 2,Self-Employed Professional,3.0,118494.0,735,Rented,Single,0
CUST-100049,21,Male,North,Tier 1,Salaried - Public Sector,1.0,63029.42,658,Rented,Married,4
CUST-100050,40,Female,West,Tier 2,Salaried - Public Sector,1.0,40767.55,705,Family Owned,Single,1
CUST-100051,33,Male,West,Tier 2,Salaried - Corporate,12.0,53095.89,618,Rented,Single,1
CUST-100052,30,Male,West,Tier 2,Salaried - Corporate,2.0,29585.32,644,Owned,Married,1
CUST-100053,43,Male,South,Tier 2,Self-Employed Business,9.0,22148.92,667,Mortgaged,Married,1
CUST-100054,47,Male,Central,Rural,Salaried - Public Sector,4.0,24766.67,671,Rented,Married,4
CUST-100055,46,Male,Central,Tier 1,Salaried - Public Sector,12.0,41891.98,655,Rented,Married,0
CUST-100056,28,Male,East,Tier 2,Salaried - Public Sector,1.0,127989.27,671,Owned,Married,2
CUST-100057,33,Male,South,Tier 3,Salaried - Corporate,7.0,106210.48,788,Mortgaged,Married,0
CUST-100058,40,Male,North,Tier 1,Self-Employed Business,11.0,362337.66,787,Family Owned,Married,0
CUST-100059,46,Male,West,Tier 1,Self-Employed Professional,,41466.01,687,Rented,Single,1
CUST-100060,32,Male,East,Tier 2,Salaried - Corporate,5.0,130272.3,689,Mortgaged,Married,2
CUST-100061,35,Male,Central,Tier 2,Self-Employed Business,6.0,44409.48,635,Rented,Single,4
CUST-100062,25,Female,East,Tier 1,Salaried - Public Sector,1.0,123047.41,682,Mortgaged,Married,3
CUST-100063,25,Female,North-East,Tier 1,Salaried - Public Sector,1.0,75949.43,740,Owned,Married,0
CUST-100064,45,Male,West,Tier 2,Self-Employed Business,1.0,36506.8,625,Mortgaged,Single,0
CUST-100065,50,Other,Central,Tier 2,Salaried - Public Sector,10.0,95035.03,712,Rented,Married,4
CUST-100066,36,Female,South,Tier 2,Self-Employed Professional,,174358.24,796,Mortgaged,Single,0
CUST-100067,47,Male,North,Tier 3,Salaried - Public Sector,2.0,24052.76,733,Mortgaged,Married,1
CUST-100068,40,Male,West,Tier 2,Salaried - Corporate,15.0,63756.31,654,Owned,Single,1
CUST-100069,30,Female,West,Tier 2,Self-Employed Business,8.0,18847.29,548,Owned,Married,1
CUST-100070,40,Female,North,Tier 2,Salaried - Corporate,7.0,44465.48,648,Owned,Married,2
CUST-100071,52,Female,West,Tier 2,Salaried - Public Sector,3.0,41974.8,621,Family Owned,Married,0
CUST-100072,36,Female,East,Tier 3,Salaried - Corporate,7.0,33117.63,688,Family Owned,Single,3
CUST-100073,52,Male,North,Tier 2,Salaried - Corporate,5.0,121283.96,718,Rented,Single,1
CUST-100074,21,Male,South,Tier 2,Salaried - Public Sector,0.0,28728.56,633,Owned,Married,0
CUST-100075,45,Male,Central,Tier 1,Salaried - Corporate,5.0,62970.94,729,,Married,4
CUST-100076,37,Male,South,Tier 3,Salaried - Corporate,3.0,59262.25,585,Rented,Married,1
CUST-100077,34,Male,West,Tier 2,Contractual,,14885.47,542,Family Owned,Married,1
CUST-100078,37,Male,North,Tier 2,Salaried - Corporate,2.0,34831.01,648,Owned,Married,3
CUST-100079,21,Male,West,Tier 2,Salaried - Public Sector,1.0,76579.87,733,Rented,Married,1
CUST-100080,34,Male,Central,Tier 1,Salaried - Public Sector,,109136.1,723,Family Owned,Married,4
CUST-100081,40,Male,South,Tier 1,Salaried - Corporate,14.0,56711.2,730,Family Owned,Single,1
CUST-100082,51,Male,South,Tier 1,Self-Employed Professional,7.0,143899.1,718,Mortgaged,Married,2
CUST-100083,31,Male,East,Tier 1,Salaried - Public Sector,6.0,118785.09,719,Owned,Single,0
CUST-100084,28,Male,Central,Tier 1,Salaried - Corporate,0.0,57455.95,657,Owned,Married,5
CUST-100085,31,Female,North,Tier 1,Salaried - Corporate,0.0,104630.32,687,Owned,Single,3
CUST-100086,46,Female,South,Tier 1,Salaried - Corporate,1.0,57008.84,676,Owned,Married,2
CUST-100087,40,Male,North,Tier 2,Self-Employed Business,,28360.2,709,Family Owned,Single,1
CUST-100088,31,Male,South,Tier 2,Salaried - Corporate,5.0,54274.41,701,Family Owned,Married,1
CUST-100089,42,Female,East,Tier 1,Salaried - Corporate,12.0,62326.45,701,Owned,Divorced,1
CUST-100090,37,Male,Central,Tier 2,Salaried - Corporate,13.0,34087.65,710,Owned,Single,2
CUST-100091,46,Female,South,Tier 2,Self-Employed Business,6.0,57670.65,697,Rented,Single,1
CUST-100092,29,Male,East,Tier 1,Self-Employed Professional,5.0,75078.0,724,Rented,Married,4
CUST-100093,33,Female,West,Tier 1,Self-Employed Business,1.0,115548.03,687,Rented,Married,2
CUST-100094,33,Female,South,Tier 1,Self-Employed Business,12.0,196814.36,784,Owned,Married,1
CUST-100095,22,Female,East,Tier 3,Contractual,1.0,32229.69,630,Mortgaged,Single,1
CUST-100096,39,Male,West,Tier 3,Salaried - Public Sector,4.0,35514.86,597,Rented,Married,0
CUST-100097,39,Female,South,Tier 1,Salaried - Public Sector,0.0,51203.88,648,Rented,Single,2
CUST-100098,37,Female,North,Tier 2,Self-Employed Business,10.0,186821.7,746,Rented,Single,2
CUST-100099,34,Female,South,Tier 2,Salaried - Corporate,2.0,51542.13,657,Mortgaged,Single,5
CUST-100100,22,Male,South,Tier 1,Salaried - Corporate,1.0,52250.79,623,Owned,Divorced,2
CUST-100101,32,Female,North,Tier 3,Salaried - Corporate,1.0,44240.62,550,Rented,Single,0
CUST-100102,33,Male,North-East,Tier 1,Self-Employed Professional,0.0,28764.2,685,Mortgaged,Married,2
CUST-100103,28,Male,South,Tier 2,Salaried - Corporate,3.0,42837.02,568,Owned,Married,2
CUST-100104,35,Male,West,Tier 2,Self-Employed Business,0.0,50202.17,753,Rented,Divorced,2
CUST-100105,41,Male,North,Tier 2,Self-Employed Business,0.0,42078.11,645,Rented,Single,1
CUST-100106,55,Female,Central,Tier 2,Salaried - Corporate,,65514.54,667,Mortgaged,Single,1
CUST-100107,38,Female,West,Tier 2,Salaried - Corporate,1.0,92852.8,625,Rented,Single,2
CUST-100108,39,Male,West,Tier 1,Salaried - Corporate,6.0,164167.41,661,Owned,Married,0
CUST-100109,36,Female,South,Tier 1,Salaried - Corporate,5.0,54968.01,643,Family Owned,Single,1
CUST-100110,21,Female,South,Tier 3,Salaried - Public Sector,0.0,32833.5,654,Family Owned,Married,1
CUST-100111,36,Male,East,Tier 2,Salaried - Public Sector,2.0,37350.93,720,Owned,Married,1
CUST-100112,37,Female,West,Tier 3,Self-Employed Business,0.0,79937.84,615,Rented,Married,0
CUST-100113,61,Male,West,Tier 2,Salaried - Corporate,3.0,21295.29,651,Rented,Married,1
CUST-100114,35,Male,North,Tier 2,Self-Employed Professional,1.0,52390.76,586,Rented,Single,0
CUST-100115,40,Male,Central,Tier 2,Salaried - Public Sector,0.0,55082.86,627,Owned,Married,3
CUST-100116,36,Male,Central,Tier 1,Self-Employed Professional,2.0,59189.21,700,Family Owned,Married,3
CUST-100117,25,Male,East,Tier 2,Salaried - Corporate,0.0,43717.73,612,Rented,Married,2
CUST-100118,48,Other,North,Tier 3,Salaried - Public Sector,8.0,54658.89,761,Mortgaged,Divorced,1
CUST-100119,44,Female,West,Tier 3,Salaried - Corporate,1.0,39494.93,690,Rented,Single,2
CUST-100120,44,Male,East,Tier 2,Salaried - Corporate,5.0,98453.63,732,Mortgaged,Married,2
CUST-100121,27,Male,West,Tier 1,Salaried - Corporate,6.0,159697.26,709,Mortgaged,Divorced,0
CUST-100122,51,Male,West,Tier 3,Salaried - Public Sector,14.0,45459.96,663,Owned,Single,5
CUST-100123,22,Male,North,Tier 2,Salaried - Corporate,1.0,46845.75,643,Family Owned,Married,5
CUST-100124,42,Male,East,Tier 3,Self-Employed Business,9.0,165955.01,756,Owned,Divorced,3
CUST-100125,58,Male,South,Tier 2,Contractual,3.0,8630.6,565,Mortgaged,Single,2
CUST-100126,27,Male,Central,Tier 3,Salaried - Public Sector,,19764.81,597,Mortgaged,Single,1
CUST-100127,31,Male,South,Tier 1,Salaried - Corporate,4.0,103522.12,676,Owned,Divorced,0
CUST-100128,37,Male,North,Tier 2,Self-Employed Professional,6.0,292014.48,692,Rented,Married,4
CUST-100129,31,Female,West,Tier 1,Salaried - Corporate,6.0,99075.03,815,Rented,Married,2
CUST-100130,21,Male,North,Tier 2,Self-Employed Professional,1.0,73928.83,644,,Married,1
CUST-100131,37,Male,East,Tier 2,Salaried - Corporate,5.0,42905.83,596,Family Owned,Married,5
CUST-100132,26,Male,South,Tier 1,Salaried - Corporate,5.0,93010.6,595,Family Owned,Married,1
CUST-100133,41,Female,East,Tier 2,Salaried - Corporate,7.0,96668.99,684,Rented,Married,3
CUST-100134,27,Female,East,Tier 1,Salaried - Corporate,6.0,102409.6,732,Rented,Single,1
CUST-100135,52,Female,South,Tier 1,Self-Employed Professional,8.0,89326.65,709,Owned,Married,0
CUST-100136,29,Female,North-East,Tier 1,Salaried - Corporate,8.0,118079.93,718,Mortgaged,Single,2
CUST-100137,33,Male,North,Tier 2,Salaried - Corporate,11.0,63102.58,740,Owned,Married,1
CUST-100138,45,Other,South,Tier 1,Salaried - Corporate,6.0,90888.28,735,Rented,Married,1
CUST-100139,24,Male,South,Tier 1,Salaried - Public Sector,1.0,93964.05,655,Rented,Divorced,2
CUST-100140,39,Male,East,Tier 1,Salaried - Public Sector,0.0,43858.72,670,Owned,Married,2
CUST-100141,50,Female,South,Tier 1,Contractual,2.0,34623.5,616,Owned,Married,2
CUST-100142,21,Male,North,Tier 1,Self-Employed Professional,1.0,92104.25,668,Rented,Married,2
CUST-100143,38,Female,Central,Tier 2,Self-Employed Business,0.0,31555.04,707,Mortgaged,Married,7
CUST-100144,39,Male,South,Tier 2,Salaried - Corporate,0.0,31418.22,608,Rented,Divorced,3
CUST-100145,44,Female,South,Rural,Salaried - Corporate,0.0,29714.4,615,Mortgaged,Married,1
CUST-100146,24,Male,South,Tier 1,Salaried - Public Sector,0.0,96665.93,672,Owned,Married,2
CUST-100147,23,Male,North,Tier 3,Salaried - Corporate,2.0,36844.93,698,Mortgaged,Single,3
CUST-100148,42,Female,North,Tier 1,Self-Employed Business,1.0,104124.12,749,Owned,Divorced,1
CUST-100149,39,Female,North,Tier 1,Self-Employed Business,7.0,117978.28,784,Mortgaged,Married,2
CUST-100150,39,Female,North,Tier 1,Salaried - Corporate,0.0,96562.59,728,Rented,Married,0
CUST-100151,40,Female,North,Tier 1,Self-Employed Business,3.0,135017.58,713,Mortgaged,Single,1
CUST-100152,30,Female,South,Tier 2,Salaried - Corporate,0.0,56035.49,712,Rented,Married,4
CUST-100153,39,Male,East,Tier 3,Salaried - Corporate,0.0,37915.35,668,Rented,Married,3
CUST-100154,39,Male,East,Tier 3,Salaried - Corporate,5.0,70233.86,689,Owned,Married,2
CUST-100155,29,Male,North,Rural,Salaried - Public Sector,3.0,30186.93,629,Owned,Single,1
CUST-100156,55,Male,Central,Tier 3,Self-Employed Business,3.0,142117.8,712,Owned,Married,0
CUST-100157,41,Female,West,Tier 2,Salaried - Corporate,,40724.82,633,Rented,Single,1
CUST-100158,25,Male,Central,Tier 2,Self-Employed Business,4.0,59959.97,703,Owned,Married,3
CUST-100159,43,Female,South,Tier 3,Salaried - Corporate,9.0,57900.25,688,Mortgaged,Married,1
CUST-100160,27,Male,East,Tier 2,Unemployed,0.0,34410.44,579,Owned,Married,2
CUST-100161,44,Female,North,Tier 1,Self-Employed Business,0.0,24514.84,655,Owned,Married,1
CUST-100162,48,Male,West,Tier 2,Self-Employed Professional,3.0,111244.38,709,Owned,Married,1
CUST-100163,28,Male,North,Tier 2,Salaried - Public Sector,2.0,59222.28,657,Mortgaged,Single,0
CUST-100164,46,Female,South,Tier 2,Salaried - Corporate,13.0,43188.13,655,Rented,Married,1
CUST-100165,41,Male,South,Tier 3,Salaried - Corporate,1.0,48625.65,661,Owned,Married,2
CUST-100166,45,Male,East,Tier 2,Salaried - Public Sector,17.0,30322.26,706,Rented,Married,3
CUST-100167,55,Male,East,Tier 3,Salaried - Corporate,,27333.66,605,Rented,Married,2
CUST-100168,34,Male,North,Tier 3,Self-Employed Professional,0.0,64158.48,595,Owned,Married,0
CUST-100169,29,Male,South,Tier 1,Salaried - Corporate,3.0,42540.58,660,Rented,Married,2
CUST-100170,28,Female,Central,Tier 1,Salaried - Public Sector,6.0,67694.81,655,Rented,Divorced,0
CUST-100171,28,Male,West,Tier 1,Self-Employed Professional,5.0,57761.29,731,Rented,Single,1
CUST-100172,36,Male,East,Tier 3,Salaried - Corporate,6.0,32390.83,721,Rented,Married,1
CUST-100173,40,Male,East,Tier 1,Self-Employed Business,3.0,201881.79,690,Owned,Married,1
CUST-100174,39,Female,North,Tier 2,Salaried - Corporate,14.0,30255.82,607,Owned,Divorced,1
CUST-100175,45,Female,North,Tier 2,Salaried - Corporate,1.0,53268.23,696,Owned,Married,2
CUST-100176,37,Male,North,Tier 2,Salaried - Corporate,0.0,68821.02,687,Rented,Single,1
CUST-100177,51,Male,South,Tier 1,Salaried - Corporate,22.0,80128.24,769,Rented,Single,1
CUST-100178,34,Male,West,Tier 1,Salaried - Corporate,6.0,52393.21,719,Rented,Married,3
CUST-100179,64,Female,South,Tier 1,Salaried - Public Sector,6.0,73753.25,681,Owned,Married,1
CUST-100180,43,Female,North,Tier 2,Contractual,10.0,16926.44,596,Mortgaged,Married,2
CUST-100181,28,Female,South,Tier 1,Self-Employed Business,3.0,67609.93,723,Owned,Married,1
CUST-100182,26,Male,North,Tier 3,Salaried - Corporate,2.0,90009.13,716,Family Owned,Married,0
CUST-100183,41,Male,West,Tier 1,Self-Employed Business,17.0,148736.01,850,Mortgaged,Married,3
CUST-100184,34,Male,North,Tier 2,Contractual,2.0,26936.64,615,Mortgaged,Single,2
CUST-100185,44,Male,South,Tier 3,Salaried - Corporate,0.0,50883.25,676,Mortgaged,Married,1
CUST-100186,41,Male,East,Tier 2,Self-Employed Business,2.0,41591.87,701,Mortgaged,Single,3
CUST-100187,36,Male,North,Tier 1,Unemployed,0.0,19436.07,624,Owned,Divorced,4
CUST-100188,28,Female,North,Tier 3,Self-Employed Business,7.0,39989.25,707,Rented,Married,1
CUST-100189,21,Male,East,Tier 1,Salaried - Corporate,0.0,52700.87,653,Mortgaged,Married,2
CUST-100190,32,Female,North,Tier 1,Salaried - Public Sector,7.0,60645.73,664,Rented,Married,0
CUST-100191,45,Male,East,Tier 1,Salaried - Corporate,1.0,52140.11,676,Rented,Single,0
CUST-100192,39,Female,West,Tier 1,Unemployed,0.0,18376.52,479,Rented,Married,3
CUST-100193,24,Other,South,Tier 2,Salaried - Corporate,3.0,66719.5,715,,Married,1
CUST-100194,38,Female,South,Tier 2,Self-Employed Business,4.0,60415.77,698,Family Owned,Married,0
CUST-100195,40,Female,Central,Tier 1,Salaried - Corporate,6.0,16924.29,656,Rented,Single,0
CUST-100196,28,Female,South,Tier 1,Salaried - Corporate,1.0,45618.38,583,Mortgaged,Married,1
CUST-100197,38,Male,North-East,Tier 2,Contractual,1.0,16535.31,638,Owned,Single,3
CUST-100198,37,Male,North,Tier 1,Self-Employed Business,0.0,123200.73,654,Owned,Married,2
CUST-100199,25,Female,West,Tier 1,Salaried - Corporate,4.0,48900.65,618,Rented,Single,4
CUST-100200,40,Female,East,Tier 1,Contractual,7.0,27916.65,528,Mortgaged,Married,3
CUST-100201,42,Other,West,Tier 2,Self-Employed Business,2.0,131638.35,686,Family Owned,Married,2
CUST-100202,47,Male,North,Tier 2,Self-Employed Business,10.0,42345.7,693,Family Owned,Single,1
CUST-100203,47,Male,South,Tier 1,Salaried - Public Sector,10.0,69113.81,704,Owned,Married,0
CUST-100204,23,Female,North,Tier 3,Contractual,0.0,15280.1,602,Mortgaged,Single,5
CUST-100205,27,Female,Central,Tier 1,Self-Employed Business,6.0,68365.9,753,Mortgaged,Single,2
CUST-100206,42,Male,South,Tier 2,Contractual,2.0,15937.01,640,Mortgaged,Divorced,2
CUST-100207,42,Male,Central,Tier 1,Salaried - Corporate,3.0,54269.75,665,Rented,Married,5
CUST-100208,42,Male,South,Tier 2,Salaried - Public Sector,3.0,60058.99,675,Rented,Married,0
CUST-100209,68,Male,North,Tier 2,Self-Employed Business,5.0,37214.8,659,,Married,0
CUST-100210,42,Male,South,Tier 2,Salaried - Public Sector,2.0,36819.7,638,Rented,Single,2
CUST-100211,48,Male,East,Tier 1,Self-Employed Business,0.0,440356.84,850,Family Owned,Married,1
CUST-100212,46,Female,West,Tier 2,Contractual,6.0,30197.54,633,Mortgaged,Married,2
CUST-100213,43,Male,South,Tier 2,Self-Employed Business,19.0,92677.45,772,Mortgaged,Divorced,0
CUST-100214,33,Male,Central,Tier 2,Salaried - Corporate,6.0,39612.67,702,Rented,Married,3
CUST-100215,44,Female,North,Tier 1,Salaried - Corporate,4.0,118594.38,769,Owned,Single,6
CUST-100216,29,Female,East,Tier 1,Salaried - Corporate,1.0,128649.4,699,Owned,Married,1
CUST-100217,34,Other,West,Tier 1,Self-Employed Professional,5.0,59837.19,710,Owned,Single,2
CUST-100218,32,Male,North,Tier 1,Salaried - Corporate,,120174.27,745,Mortgaged,Married,3
CUST-100219,37,Female,North,Tier 1,Salaried - Corporate,5.0,137622.74,654,Mortgaged,Married,2
CUST-100220,60,Male,South,Tier 1,Salaried - Corporate,13.0,25030.97,650,Owned,Married,1
CUST-100221,21,Female,North,Tier 2,Self-Employed Business,1.0,133487.1,704,Mortgaged,Single,1
CUST-100222,43,Female,Central,Tier 2,Salaried - Corporate,9.0,36971.52,722,Family Owned,Married,1
CUST-100223,21,Male,Central,Tier 3,Salaried - Corporate,1.0,78832.32,845,Rented,Single,1
CUST-100224,32,Male,West,Tier 2,Salaried - Public Sector,1.0,35587.71,632,Mortgaged,Single,0
CUST-100225,47,Male,West,Tier 2,Salaried - Corporate,1.0,73386.12,663,Family Owned,Married,1
CUST-100226,37,Female,North,Tier 2,Salaried - Corporate,9.0,22476.85,675,Mortgaged,Married,2
CUST-100227,26,Male,North,Tier 3,Salaried - Corporate,5.0,70975.14,617,Mortgaged,Married,2
CUST-100228,29,Female,West,Tier 2,Salaried - Public Sector,2.0,50482.8,590,Rented,Single,0
CUST-100229,43,Male,East,Tier 2,Salaried - Corporate,0.0,103327.0,690,Rented,Single,1
CUST-100230,29,Male,East,Tier 3,Contractual,8.0,14616.22,568,Rented,Married,1
CUST-100231,39,Other,West,Tier 1,Salaried - Corporate,2.0,78352.62,740,Mortgaged,Divorced,1
CUST-100232,37,Female,South,Tier 2,Contractual,1.0,53294.3,613,Mortgaged,Married,1
CUST-100233,30,Female,North,Tier 1,Self-Employed Business,0.0,93370.8,633,Mortgaged,Married,3
CUST-100234,58,Male,West,Tier 3,Self-Employed Business,15.0,74093.13,681,Family Owned,Married,1
CUST-100235,43,Male,South,Tier 3,Salaried - Corporate,0.0,57640.69,724,Rented,Single,4
CUST-100236,21,Male,West,Tier 2,Self-Employed Professional,1.0,26075.95,605,Owned,Married,1
CUST-100237,38,Male,South,Tier 2,Self-Employed Business,6.0,50778.68,667,Owned,Single,3
CUST-100238,30,Male,North,Tier 3,Salaried - Public Sector,3.0,57957.72,666,Rented,Married,0
CUST-100239,45,Female,North,Tier 2,Salaried - Public Sector,3.0,21610.83,609,Owned,Married,1
CUST-100240,29,Male,West,Tier 3,Salaried - Corporate,8.0,71065.46,717,Mortgaged,Single,3
CUST-100241,35,Male,East,Tier 2,Salaried - Corporate,14.0,40361.89,776,Owned,Divorced,2
CUST-100242,42,Male,South,Tier 3,Salaried - Corporate,3.0,113544.93,735,Rented,Married,0
CUST-100243,45,Male,South,Tier 2,Contractual,2.0,32747.91,648,Owned,Married,2
CUST-100244,24,Female,East,Tier 2,Self-Employed Professional,3.0,40932.67,620,Family Owned,Married,2
CUST-100245,33,Male,North,Tier 1,Salaried - Corporate,2.0,114932.11,724,Owned,Married,1
CUST-100246,32,Male,South,Tier 1,Salaried - Public Sector,3.0,113058.13,771,Rented,Divorced,3
CUST-100247,30,Male,South,Tier 3,Self-Employed Professional,2.0,71312.87,675,Mortgaged,Divorced,2
CUST-100248,54,Female,South,Tier 2,Salaried - Corporate,3.0,43349.11,666,Rented,Married,4
CUST-100249,41,Female,South,Tier 2,Self-Employed Professional,17.0,156837.73,801,Owned,Married,1
CUST-100250,24,Female,North,Tier 2,Salaried - Corporate,2.0,34048.6,721,Mortgaged,Married,0
CUST-100251,46,Male,South,Tier 1,Salaried - Corporate,6.0,120346.53,775,Owned,Married,1
CUST-100252,58,Male,South,Tier 2,Salaried - Public Sector,4.0,18707.31,575,Rented,Single,2
CUST-100253,47,Female,South,Tier 1,Salaried - Corporate,7.0,74696.0,718,Owned,Married,2
CUST-100254,21,Other,North-East,Tier 3,Salaried - Corporate,1.0,30737.01,618,Family Owned,Married,3
CUST-100255,32,Other,North,Tier 2,Self-Employed Business,1.0,27982.47,626,Mortgaged,Married,2
CUST-100256,49,Female,East,Tier 3,Salaried - Corporate,12.0,78023.15,661,Rented,Married,0
CUST-100257,29,Male,North,Tier 2,Self-Employed Professional,6.0,18245.18,625,Owned,Married,3
CUST-100258,41,Female,West,Tier 1,Self-Employed Business,4.0,250455.28,710,Rented,Married,2
CUST-100259,44,Female,Central,Tier 3,Salaried - Corporate,10.0,18881.37,643,Owned,Married,2
CUST-100260,27,Female,South,Tier 1,Salaried - Corporate,6.0,119257.6,743,Owned,Married,4
CUST-100261,36,Male,West,Tier 2,Self-Employed Business,3.0,42381.92,678,Rented,Single,0
CUST-100262,21,Male,North,Tier 1,Salaried - Public Sector,1.0,29169.49,682,Mortgaged,Married,2
CUST-100263,26,Male,North,Tier 2,Self-Employed Business,5.0,53264.51,660,Owned,Single,0
CUST-100264,34,Male,South,Tier 1,Salaried - Corporate,3.0,93366.85,625,Mortgaged,Married,0
CUST-100265,24,Male,South,Tier 2,Self-Employed Business,0.0,38993.25,725,Owned,Married,0
CUST-100266,53,Female,South,Tier 3,Salaried - Corporate,2.0,46278.84,691,Mortgaged,Married,2
CUST-100267,22,Male,South,Tier 2,Self-Employed Business,1.0,118522.25,732,Family Owned,Married,1
CUST-100268,32,Male,South,Tier 1,Self-Employed Business,7.0,270353.87,785,Owned,Divorced,2
CUST-100269,38,Male,West,Tier 2,Salaried - Public Sector,11.0,50276.89,709,Rented,Married,2
CUST-100270,51,Male,North,Tier 3,Salaried - Public Sector,0.0,58607.32,716,Mortgaged,Married,0
CUST-100271,22,Other,North,Tier 1,Salaried - Corporate,1.0,107688.93,672,Rented,Married,1
CUST-100272,48,Male,South,Tier 1,Salaried - Corporate,1.0,67250.63,716,Mortgaged,Married,2
CUST-100273,37,Male,South,Tier 1,Salaried - Public Sector,16.0,100832.34,759,Rented,Married,0
