customer_id,age,gender,city,annual_income,visit_frequency,avg_purchase_value,online_activity_score,membership_years,discount_usage,monthly_spending,loyal_customer
CUST-10030,30,Female,Chicago,47208.75,5,102.54,57.9,2.5,0.53,555.0,0
CUST-10031,60,Male,Boston,170226.64,8,420.67,57.6,4.5,0.15,3735.41,1
CUST-10032,37,Male,New York,54599.15,8,111.53,72.9,2.5,0.68,901.77,0
CUST-10033,25,Male,San Francisco,156404.31,6,420.03,49.7,2.2,0.16,2863.02,0
CUST-10034,47,Female,San Francisco,71046.54,5,143.45,78.5,7.4,0.46,817.03,1
CUST-10035,23,Female,Austin,33015.58,4,57.6,70.5,1.4,0.65,287.11,0
CUST-10036,40,Male,Miami,40623.46,8,73.44,55.2,5.9,0.43,613.33,0
CUST-10037,18,Female,Chicago,29980.31,2,67.91,78.9,0.5,0.61,221.87,0
CUST-10038,22,Male,Houston,33547.66,6,79.44,63.3,1.3,0.65,488.35,1
CUST-10039,40,Female,Chicago,36530.99,4,62.16,78.2,1.4,,296.6,0
CUST-10040,46,Male,New York,28231.75,8,81.01,70.8,4.4,0.57,652.18,0
CUST-10041,40,Male,Los Angeles,132741.64,4,183.56,54.5,2.7,0.16,1094.37,0
CUST-10042,36,Male,Los Angeles,69235.6,4,108.36,65.2,4.1,0.34,630.83,0
CUST-10043,34,Male,Houston,36518.25,5,33.53,64.2,0.9,0.65,277.59,0
CUST-10044,20,Female,Boston,72634.87,6,88.47,64.3,0.7,0.48,689.22,0
CUST-10045,29,Female,Boston,42812.33,6,73.72,61.9,0.9,0.52,625.0,0
CUST-10046,32,Male,New York,19236.67,6,30.76,67.9,1.9,0.75,234.99,0
CUST-10047,50,Male,New York,250000.0,14,420.65,80.1,10.1,0.0,4800.0,1
CUST-10048,42,Male,Los Angeles,68498.14,10,148.02,51.1,1.0,0.46,1475.14,1
CUST-10049,18,Female,Los Angeles,46409.31,3,72.88,,0.5,0.62,291.82,0
CUST-10050,41,Female,New York,27809.9,11,54.49,80.4,8.5,0.65,608.18,1
CUST-10051,33,Male,Chicago,26949.37,10,45.16,79.2,3.9,0.65,441.57,0
CUST-10052,29,Female,Phoenix,111511.77,7,179.58,77.3,3.3,0.31,1543.02,1
CUST-10053,45,Male,Houston,109062.46,5,319.29,84.0,8.7,0.36,1752.87,1
CUST-10054,50,Female,Houston,75005.31,7,166.34,,3.2,0.45,1203.08,0
CUST-10055,49,Female,Los Angeles,35675.64,8,63.17,77.5,7.4,0.78,450.67,1
CUST-10056,27,Female,San Francisco,161370.66,5,214.44,56.6,1.5,0.0,1613.73,1
CUST-10057,34,Female,Miami,64446.97,5,145.79,68.0,2.0,0.39,871.28,0
CUST-10058,41,Female,Los Angeles,86441.59,7,98.68,53.3,2.2,0.46,894.94,0
CUST-10059,49,Female,New York,91417.3,12,174.16,69.1,7.5,0.46,2109.16,1
CUST-10060,32,Female,Los Angeles,29327.13,11,67.57,78.2,4.6,0.75,624.55,1
CUST-10061,35,Male,New York,40175.96,14,95.47,89.6,6.0,0.71,1187.59,1
CUST-10062,24,Male,Chicago,44076.46,6,96.32,73.5,1.3,0.53,603.95,0
CUST-10063,23,Male,New York,100903.96,10,255.23,64.4,1.1,0.38,2572.93,1
CUST-10064,47,Female,Chicago,28526.08,15,71.57,68.8,8.1,0.67,965.6,1
CUST-10065,54,Male,Los Angeles,57073.13,15,164.17,84.2,11.3,0.59,2235.09,1
CUST-10066,37,Male,San Francisco,69436.47,11,88.56,56.5,2.3,0.5,1071.77,0
CUST-10067,50,Male,New York,108713.85,9,126.8,60.8,4.2,0.42,1306.51,0
CUST-10068,42,Male,Houston,72116.81,2,120.53,75.0,5.4,0.58,401.94,0
CUST-10069,30,Female,New York,44134.26,4,86.56,61.6,2.4,0.48,452.93,0
CUST-10070,42,Female,New York,150760.49,10,267.8,65.2,6.9,0.17,3024.96,1
CUST-10071,56,Female,Seattle,37855.2,11,69.98,55.5,7.8,0.56,773.0,1
CUST-10072,37,Female,San Francisco,130952.76,6,379.17,78.7,1.3,0.31,2461.11,1
CUST-10073,56,Female,New York,55549.63,4,103.32,69.4,2.9,0.51,496.88,0
CUST-10074,18,Male,San Francisco,82325.42,7,187.21,57.6,0.5,0.55,1361.43,0
CUST-10075,47,Male,Phoenix,54591.49,8,97.78,62.0,3.0,0.42,837.22,0
CUST-10076,39,Female,Chicago,62795.83,10,152.96,74.3,0.9,0.39,1593.6,0
CUST-10077,34,Male,Chicago,79701.19,7,147.76,78.1,4.8,0.58,1173.43,1
CUST-10078,39,Male,Seattle,82361.49,8,126.95,80.5,5.9,0.49,1145.3,1
CUST-10079,18,Female,Los Angeles,92188.12,5,130.93,78.7,0.5,0.38,828.9,0
CUST-10080,35,Male,Chicago,71761.27,6,161.2,63.9,3.7,0.46,1098.68,0
CUST-10081,42,Male,Los Angeles,33108.14,9,45.96,85.9,9.3,0.84,441.3,1
CUST-10082,55,Male,Miami,58900.58,5,131.27,61.0,2.2,0.57,728.88,0
CUST-10083,31,Male,Boston,49039.76,6,139.13,57.7,2.9,,886.51,0
CUST-10084,28,Male,Seattle,38890.77,9,82.12,75.3,2.5,0.58,782.66,0
CUST-10085,31,Male,Miami,44524.14,9,68.33,58.0,0.6,0.58,721.9,0
CUST-10086,48,Female,Austin,65311.8,10,176.17,67.3,5.2,0.46,1714.39,1
CUST-10087,41,Female,San Francisco,85931.84,6,187.08,79.4,7.3,0.68,1165.24,1
CUST-10088,31,Male,San Francisco,128602.9,8,184.18,81.6,2.7,0.4,1718.98,1
CUST-10089,44,Female,Austin,114572.69,8,140.9,80.7,9.2,0.37,1362.9,1
CUST-10090,39,Male,New York,86529.87,7,94.24,78.1,5.6,0.4,883.33,1
CUST-10091,49,Male,Phoenix,63145.24,14,107.45,83.4,9.6,0.73,1365.83,1
CUST-10092,29,Male,San Francisco,79548.86,8,219.69,58.2,3.6,0.38,1847.66,1
CUST-10093,34,Female,Boston,95409.58,8,181.99,60.8,4.6,0.49,1577.4,1
CUST-10094,33,Male,Seattle,86390.9,5,96.03,75.3,4.6,0.47,674.84,0
CUST-10095,20,Female,Seattle,65900.38,8,91.85,90.2,0.7,0.62,812.31,0
CUST-10096,41,Female,Boston,190672.55,7,450.0,76.5,5.3,,3701.26,1
CUST-10097,41,Female,Houston,39167.99,6,77.41,79.1,5.4,0.57,499.0,0
CUST-10098,38,Female,New York,151347.39,14,434.65,77.1,1.9,0.18,4800.0,1
CUST-10099,35,Female,New York,37158.88,6,91.31,69.4,5.7,0.64,557.96,1
CUST-10100,21,Male,Houston,77305.08,5,126.36,97.0,0.7,0.65,775.75,0
CUST-10101,32,Male,Chicago,116666.46,10,291.82,85.6,3.2,0.49,2957.79,1
CUST-10102,33,Female,Chicago,21920.57,7,30.73,71.4,1.9,0.65,269.13,0
CUST-10103,28,Female,Chicago,60977.82,7,148.67,66.5,2.9,0.46,1124.42,0
CUST-10104,36,Male,Boston,92969.67,8,133.53,64.9,7.0,0.52,1183.92,1
CUST-10105,42,Male,Los Angeles,70667.69,4,163.16,83.5,7.8,0.55,794.22,1
CUST-10106,60,Male,Seattle,81815.46,10,125.55,94.0,9.5,0.38,1385.48,1
CUST-10107,40,Male,Boston,69593.97,11,125.27,88.2,5.2,0.65,1405.96,1
CUST-10108,41,Male,Houston,29779.72,5,37.96,93.8,4.8,,252.12,0
CUST-10109,37,Female,Chicago,185871.89,9,450.0,35.2,2.0,0.0,4641.55,1
CUST-10110,18,Female,Miami,40012.12,5,99.79,76.5,0.5,0.73,571.38,0
CUST-10111,37,Male,San Francisco,94235.56,5,163.6,72.2,3.4,0.48,1046.13,0
CUST-10112,38,Female,Los Angeles,45086.68,11,97.42,84.1,7.6,0.61,1033.4,1
CUST-10113,67,Female,New York,23439.38,4,37.23,74.0,6.7,0.4,223.05,0
CUST-10114,35,Male,Los Angeles,39242.1,12,104.46,75.8,4.2,0.57,1171.24,1
CUST-10115,41,Male,New York,35464.99,12,92.81,91.8,8.5,0.82,984.39,1
CUST-10116,37,Female,Los Angeles,107532.21,4,162.46,76.7,4.2,0.38,829.12,0
CUST-10117,23,Female,Los Angeles,45996.84,7,132.3,71.9,0.9,0.65,939.21,0
CUST-10118,51,Male,Phoenix,37706.73,11,94.63,69.9,5.3,0.6,1021.06,1
CUST-10119,47,Other,Austin,35001.45,5,64.96,70.5,4.7,0.63,382.95,0
CUST-10120,47,Male,San Francisco,79498.22,14,183.98,61.0,8.4,0.43,2552.54,1
CUST-10121,27,Male,Boston,45437.47,6,91.48,70.2,1.4,0.71,542.25,0
CUST-10122,54,Male,Miami,84531.88,10,201.36,85.9,10.7,0.53,1982.74,1
CUST-10123,21,Male,San Francisco,88211.44,4,182.16,76.9,1.1,0.44,884.82,0
CUST-10124,45,Female,Chicago,42739.43,11,68.15,61.6,4.0,0.64,697.37,1
CUST-10125,64,Female,Los Angeles,95308.9,9,171.21,59.6,2.5,,1751.23,0
CUST-10126,26,Male,Seattle,67989.86,10,56.41,74.3,2.2,0.57,719.73,1
CUST-10127,31,Female,Boston,65714.18,9,189.04,73.1,2.2,0.6,1629.62,0
CUST-10128,39,Female,Chicago,27377.39,7,37.6,65.2,4.7,0.55,314.59,0
CUST-10129,31,Male,New York,70584.19,7,179.46,42.0,3.5,0.37,1389.08,0
CUST-10130,19,Female,Miami,60444.39,6,97.32,71.4,0.5,0.47,695.81,0
CUST-10131,38,Male,Los Angeles,121363.49,8,146.33,75.1,7.4,0.42,1448.85,1
CUST-10132,25,Female,New York,50219.45,7,98.74,61.8,1.4,0.52,714.39,0
CUST-10133,43,Male,Miami,160774.98,7,433.96,68.0,3.4,0.28,3297.3,1
CUST-10134,26,Female,Houston,67991.7,8,87.56,61.4,2.9,0.68,778.92,0
CUST-10135,56,Male,San Francisco,35481.49,6,55.33,77.4,2.5,0.64,357.55,0
CUST-10136,28,Female,Boston,42604.81,11,55.48,47.9,0.9,0.48,706.2,1
CUST-10137,34,Female,Houston,104736.85,5,245.15,73.6,6.0,0.54,1347.06,1
CUST-10138,47,Male,Houston,95829.06,4,236.64,59.8,2.8,0.41,1108.0,0
CUST-10139,23,Male,Los Angeles,62869.01,10,91.37,52.6,0.7,0.52,920.6,0
CUST-10140,40,Male,Los Angeles,67152.46,4,134.58,54.6,4.9,0.39,691.01,1
CUST-10141,53,Female,Miami,28750.25,5,77.45,61.5,1.1,0.65,411.39,0
CUST-10142,18,Male,Chicago,110140.44,12,149.69,96.2,0.5,0.48,1858.12,1
CUST-10143,40,Female,New York,44632.66,4,108.06,55.5,4.3,0.54,554.39,0
CUST-10144,41,Male,New York,111577.55,9,196.61,39.4,6.1,0.22,1970.06,0
CUST-10145,47,Male,Chicago,111838.52,5,172.33,47.3,3.7,0.35,1148.31,0
CUST-10146,23,Male,Chicago,58271.47,9,136.41,63.1,1.9,0.51,1247.1,0
CUST-10147,22,Male,Phoenix,79098.18,6,208.75,64.2,0.8,0.43,1360.44,0
CUST-10148,44,Female,Chicago,143287.73,11,207.28,75.4,6.8,0.21,2646.58,1
CUST-10149,41,Female,New York,83624.26,7,144.36,89.4,8.7,0.55,1167.92,1
CUST-10150,41,Male,Houston,47148.42,7,149.42,58.4,4.0,0.51,1069.89,0
CUST-10151,42,Female,Boston,62874.45,8,119.08,48.9,2.0,0.4,1076.61,0
CUST-10152,29,Male,New York,50443.57,7,63.59,84.2,0.8,,562.4,0
CUST-10153,40,Female,San Francisco,51724.16,10,111.7,89.0,8.5,0.6,1099.3,1
CUST-10154,41,Male,Phoenix,60830.27,14,94.98,63.5,7.1,0.54,1312.52,1
CUST-10155,29,Female,San Francisco,69877.38,6,100.08,79.4,4.1,0.46,675.29,1
CUST-10156,60,Female,New York,86153.79,12,164.69,80.6,10.6,0.69,1870.25,1
CUST-10157,43,Male,Boston,30864.24,10,86.23,77.8,3.8,0.62,819.64,1
CUST-10158,23,Female,Phoenix,46552.22,7,74.04,71.4,0.7,0.65,499.06,0
CUST-10159,45,Male,Seattle,113346.24,12,179.09,94.1,10.1,0.5,2190.74,1
CUST-10160,26,Male,Los Angeles,35607.08,5,32.95,59.7,1.8,0.63,227.35,0
CUST-10161,47,Male,San Francisco,76476.24,6,182.12,66.3,4.9,0.4,1199.43,1
CUST-10162,51,Male,Miami,20361.52,15,36.02,62.8,7.8,0.78,573.7,1
CUST-10163,28,Male,Chicago,29615.68,4,101.84,58.9,0.9,0.59,505.89,0
CUST-10164,49,Male,Chicago,85188.4,7,202.92,64.7,4.2,0.42,1561.69,1
CUST-10165,42,Male,Phoenix,41772.66,11,57.89,79.5,6.3,0.67,713.85,1
CUST-10166,47,Male,New York,181887.02,7,300.4,56.9,1.6,0.21,2548.11,1
CUST-10167,60,Female,San Francisco,94154.64,7,231.96,65.2,2.5,0.28,1833.86,1
CUST-10168,35,Female,New York,95358.85,4,142.46,72.7,3.7,0.44,810.45,0
CUST-10169,28,Male,New York,42696.13,4,55.19,67.6,2.7,0.61,304.89,0
CUST-10170,27,Male,San Francisco,62562.39,6,173.55,81.1,1.1,0.57,1071.4,0
CUST-10171,28,Male,New York,50705.34,17,121.96,64.1,0.6,0.65,1904.69,1
CUST-10172,37,Female,Austin,34982.01,6,62.21,,7.3,0.54,422.88,1
CUST-10173,42,Female,Seattle,94380.53,3,224.13,62.0,0.8,0.41,848.06,0
CUST-10174,41,Male,Phoenix,75124.15,12,201.14,49.5,0.5,0.48,2325.17,1
CUST-10175,47,Male,Miami,62829.21,3,93.45,46.0,4.1,0.42,472.04,0
CUST-10176,38,Male,Seattle,44761.78,3,40.55,89.8,2.2,0.7,260.91,0
CUST-10177,55,Male,Los Angeles,73506.34,10,139.2,67.9,8.7,0.44,1420.75,1
CUST-10178,34,Female,Seattle,26024.78,6,44.85,90.6,5.8,0.74,336.7,1
CUST-10179,70,Female,New York,141720.09,6,292.87,49.7,7.5,0.21,2110.59,1
CUST-10180,45,Male,Chicago,29724.15,9,58.86,96.7,8.5,0.79,514.44,1
CUST-10181,27,Female,Houston,29391.98,9,73.06,76.1,3.3,0.68,675.42,1
CUST-10182,25,Male,San Francisco,80347.67,3,225.36,67.0,0.9,0.52,809.21,0
CUST-10183,43,Male,New York,80998.38,5,111.49,72.5,5.1,0.42,787.13,1
CUST-10184,35,Female,Los Angeles,60077.32,12,134.84,65.1,4.5,0.62,1473.62,1
CUST-10185,46,Female,Phoenix,27989.24,6,75.78,63.2,4.1,0.62,453.33,0
CUST-10186,43,Male,Los Angeles,109802.21,10,293.68,68.7,7.5,0.38,2983.5,1
CUST-10187,37,Male,Miami,22153.09,8,33.13,,5.5,0.77,264.13,1
CUST-10188,27,Female,Phoenix,23225.47,7,38.82,75.6,1.8,0.64,277.48,0
CUST-10189,19,Female,Los Angeles,59057.72,3,124.45,67.8,0.5,0.53,531.38,0
CUST-10190,32,Male,New York,38870.37,7,76.48,65.2,0.6,0.47,635.24,0
CUST-10191,48,Male,Phoenix,89854.96,12,153.98,71.1,4.7,0.45,1903.4,1
CUST-10192,40,Male,Chicago,31561.17,5,28.33,60.5,1.2,0.62,207.49,0
CUST-10193,23,Female,New York,159311.74,4,441.46,58.8,1.7,0.23,2196.28,0
CUST-10194,40,Female,Los Angeles,104539.79,4,227.67,67.4,3.3,0.32,1151.66,1
CUST-10195,42,Male,Los Angeles,115530.5,13,306.95,85.5,6.6,0.29,4040.8,1
CUST-10196,27,Female,New York,187898.57,6,394.3,53.2,1.6,0.08,2839.78,1
CUST-10197,39,Female,Houston,53600.87,7,121.93,81.1,6.8,0.58,892.04,1
CUST-10198,38,Male,Miami,31014.79,8,72.88,76.4,7.2,0.75,604.89,1
CUST-10199,24,Male,Houston,48883.87,7,143.25,62.5,2.1,0.48,1036.43,1
CUST-10200,42,Female,Miami,38768.91,11,96.68,84.3,4.9,0.52,1049.14,1
CUST-10201,44,Female,New York,51303.23,5,159.33,38.7,1.3,0.5,879.82,0
CUST-10202,50,Female,Chicago,61341.81,4,132.72,57.2,5.1,0.47,675.04,0
CUST-10203,50,Female,Phoenix,41722.15,7,83.13,60.4,5.7,0.61,561.24,1
CUST-10204,21,Male,San Francisco,52071.21,4,110.57,94.2,1.2,0.59,528.69,0
CUST-10205,26,Male,San Francisco,67088.71,10,94.45,,2.0,0.56,1102.23,1
CUST-10206,44,Female,San Francisco,99803.79,10,167.78,66.0,6.8,0.49,1782.59,1
CUST-10207,44,Male,Phoenix,78656.7,12,117.93,75.5,8.2,0.59,1468.15,1
CUST-10208,44,Female,New York,32815.05,10,97.46,72.5,6.1,,885.67,1
CUST-10209,75,Female,San Francisco,65177.64,9,185.14,59.7,9.2,0.42,1636.36,1
CUST-10210,44,Female,San Francisco,70671.71,9,110.26,71.3,2.9,0.53,1057.39,0
CUST-10211,51,Male,Austin,32992.98,5,95.19,70.0,1.2,0.43,483.15,0
CUST-10212,49,Female,San Francisco,71440.44,10,97.91,83.4,9.1,0.61,979.41,1
CUST-10213,45,Female,San Francisco,81672.29,15,178.91,68.7,9.2,0.45,2589.64,1
CUST-10214,34,Female,Houston,66710.92,7,191.65,60.6,2.9,0.55,1339.84,0
CUST-10215,47,Male,Seattle,70384.09,7,213.35,,6.6,0.54,1497.34,1
CUST-10216,28,Male,Austin,38362.49,7,91.02,79.2,1.6,0.64,552.81,0
CUST-10217,35,Male,Miami,140747.35,6,343.56,65.2,3.3,0.34,2322.41,0
CUST-10218,32,Male,Phoenix,73806.56,3,101.31,65.7,1.6,0.35,546.63,0
CUST-10219,38,Male,New York,96419.57,10,147.82,57.9,6.2,0.44,1658.75,1
CUST-10220,65,Female,San Francisco,125352.85,10,320.37,81.6,7.6,0.42,3188.21,1
CUST-10221,18,Female,San Francisco,85714.46,4,193.53,62.3,0.5,0.51,873.52,0
CUST-10222,46,Female,Miami,97915.21,5,183.45,40.3,0.9,0.16,1209.42,0
CUST-10223,18,Female,New York,75247.7,6,192.67,89.4,0.5,0.57,1254.02,0
CUST-10224,32,Male,Phoenix,48801.35,3,64.05,76.6,1.5,0.57,334.29,0
CUST-10225,51,Female,Los Angeles,85594.49,5,159.1,66.4,5.4,0.48,871.38,1
CUST-10226,38,Male,Miami,113197.06,4,213.63,65.2,3.6,0.48,1085.62,0
CUST-10227,25,Male,Los Angeles,132692.04,3,370.73,66.6,1.5,0.27,1387.94,0
CUST-10228,29,Female,San Francisco,102017.13,8,159.8,66.0,1.4,0.4,1439.83,0
CUST-10229,46,Female,Los Angeles,80665.63,10,192.12,94.7,9.6,0.52,1920.04,1
CUST-10230,29,Female,New York,103582.72,9,135.88,52.6,2.2,0.35,1388.81,1
CUST-10231,40,Male,Phoenix,79813.66,5,116.24,81.4,5.6,0.59,706.96,1
CUST-10232,38,Female,New York,140010.2,10,295.01,59.7,5.1,0.29,3176.41,1
CUST-10233,30,Male,Phoenix,43319.04,7,63.04,81.7,3.1,0.72,538.22,1
CUST-10234,63,Male,Boston,125662.15,9,207.18,,8.6,0.22,2203.18,1
CUST-10235,45,Female,Austin,70742.92,10,109.5,65.1,9.0,0.42,1223.01,1
CUST-10236,18,Female,Los Angeles,86269.19,8,212.62,63.5,0.5,0.35,1843.64,0
CUST-10237,40,Female,Miami,102711.71,6,114.91,72.5,4.0,0.42,944.9,0
CUST-10238,30,Female,Los Angeles,90517.01,10,194.98,77.3,3.2,0.41,2014.33,1
CUST-10239,48,Female,Boston,102777.25,3,253.72,56.6,1.7,0.3,991.61,0
CUST-10240,28,Female,Miami,42361.59,11,77.53,61.1,0.8,0.68,850.65,0
CUST-10241,36,Female,New York,154702.68,6,313.73,83.5,3.7,0.33,2259.6,1
CUST-10242,44,Female,Chicago,80550.01,9,186.18,66.1,9.4,0.47,1709.8,1
CUST-10243,48,Female,Los Angeles,66356.35,8,205.26,98.4,8.0,0.6,1607.27,1
CUST-10244,23,Other,Miami,89254.21,3,127.85,82.7,1.5,0.54,623.11,0
CUST-10245,33,Male,Chicago,207462.4,10,450.0,55.0,1.4,0.0,4800.0,1
CUST-10246,32,Female,San Francisco,42277.49,8,65.63,68.8,2.8,0.69,557.28,0
CUST-10247,30,Female,Phoenix,32623.01,9,61.75,72.9,2.2,0.72,564.75,0
CUST-10248,59,Male,Austin,228196.6,12,450.0,56.0,11.9,0.0,4800.0,1
CUST-10249,42,Female,Boston,80472.35,7,119.12,82.7,1.8,0.48,975.49,1
CUST-10250,22,Male,Chicago,62581.5,8,88.82,88.3,1.1,0.55,818.99,1
CUST-10251,49,Female,San Francisco,71594.92,8,156.64,83.9,11.3,0.73,1208.94,1
CUST-10252,63,Female,Miami,94176.38,14,121.88,100.0,13.4,0.36,1808.01,1
CUST-10253,50,Male,Boston,239892.27,11,450.0,83.7,11.0,0.08,4800.0,1
CUST-10254,19,Male,New York,52444.48,9,173.48,,0.5,0.51,1570.07,0
CUST-10255,32,Female,Los Angeles,59356.9,15,169.66,69.6,5.3,0.63,2334.26,1
CUST-10256,53,Male,Los Angeles,52281.53,10,56.54,77.6,11.4,0.66,611.1,1
CUST-10257,29,Male,Chicago,82061.37,8,119.83,60.0,3.8,0.4,1083.41,1
CUST-10258,43,Male,New York,134766.82,9,238.55,74.9,9.4,0.21,2467.55,1
CUST-10259,47,Female,Houston,115748.28,8,339.18,77.6,10.9,0.31,2855.97,1
CUST-10260,26,Female,San Francisco,111282.95,8,272.19,73.4,1.1,0.37,2238.41,0
CUST-10261,37,Female,Houston,181384.27,5,450.0,69.0,1.4,0.04,2729.39,1
CUST-10262,18,Male,San Francisco,56902.57,6,102.05,76.6,0.5,0.62,678.42,0
CUST-10263,25,Female,New York,48186.51,6,98.72,73.8,1.8,0.67,677.98,0
CUST-10264,34,Female,Seattle,141183.49,3,371.66,68.4,2.4,0.4,1427.94,0
CUST-10265,23,Male,Boston,69129.56,9,159.41,70.9,1.5,0.63,1379.41,0
CUST-10266,57,Female,Phoenix,24505.9,5,64.49,70.3,1.4,0.55,270.61,0
CUST-10267,20,Female,Seattle,57821.27,10,176.33,76.2,0.5,0.6,1687.4,1
CUST-10268,32,Female,New York,83111.13,8,177.38,58.1,2.3,0.44,1490.01,0
CUST-10269,39,Male,Miami,37256.53,6,38.98,79.3,2.0,0.76,318.56,0
CUST-10270,55,Male,New York,44036.51,8,121.71,86.7,10.8,0.57,936.39,1
CUST-10271,20,Male,Chicago,51275.87,5,74.72,68.7,0.8,0.58,497.89,0
CUST-10272,51,Male,Los Angeles,36588.72,7,93.25,75.6,8.9,0.58,722.52,1
CUST-10273,38,Female,Phoenix,66983.73,7,196.76,62.5,5.4,,1469.16,1
CUST-10274,26,Male,Los Angeles,23573.05,11,28.7,73.7,0.5,0.72,308.0,0
CUST-10275,43,Female,Phoenix,51013.82,12,65.36,77.2,5.4,0.64,739.32,1
CUST-10276,40,Male,Chicago,73758.03,7,93.77,90.9,7.3,0.53,772.69,1
CUST-10277,30,Male,Seattle,64723.07,5,148.79,78.6,3.3,0.51,816.91,0
CUST-10278,38,Female,Phoenix,84225.33,4,158.04,44.5,2.2,0.46,785.92,0
CUST-10279,33,Male,Los Angeles,31397.43,8,71.68,86.6,5.2,0.7,549.08,1
CUST-10280,39,Female,Los Angeles,43880.14,13,90.75,90.6,8.1,0.67,1141.73,1
CUST-10281,45,Male,Seattle,57418.75,3,79.29,71.8,3.4,0.44,339.56,0
CUST-10282,57,Male,Chicago,81239.14,10,185.11,48.4,3.5,0.34,1958.59,1
CUST-10283,23,Female,Houston,57409.24,12,60.36,81.2,1.0,0.67,775.1,0
CUST-10284,63,Female,Phoenix,142389.63,10,256.72,56.6,1.4,0.22,2862.34,1
CUST-10285,18,Male,Los Angeles,41642.18,5,103.46,64.4,0.5,0.32,603.28,0
CUST-10286,36,Male,Los Angeles,31016.28,5,101.12,75.8,6.7,0.56,535.87,1
CUST-10287,45,Female,Chicago,139153.74,8,178.71,83.9,7.0,0.42,1761.93,1
CUST-10288,41,Female,Los Angeles,30464.97,7,29.49,53.3,7.1,0.69,246.3,0
CUST-10289,30,Female,Los Angeles,87666.34,9,152.43,88.2,3.4,0.48,1458.13,1
CUST-10290,35,Male,New York,44836.13,4,77.93,74.8,2.9,0.75,370.49,0
CUST-10291,32,Other,Los Angeles,22139.15,5,54.54,76.2,3.7,0.61,336.91,0
CUST-10292,30,Male,Los Angeles,51656.43,6,101.29,69.8,4.1,0.59,685.89,1
CUST-10293,48,Male,Austin,93438.63,10,142.49,100.0,9.8,0.52,1455.09,1
CUST-10294,42,Female,Phoenix,26469.65,3,46.67,53.8,1.2,0.58,192.7,0
CUST-10295,29,Male,Miami,68648.47,6,184.48,89.6,2.3,0.49,1192.19,1
CUST-10296,48,Male,New York,107101.94,8,187.95,72.0,5.1,0.34,1651.27,1
CUST-10297,41,Male,New York,38725.73,10,50.25,100.0,7.0,0.78,578.15,1
CUST-10298,47,Male,Miami,45927.81,11,55.46,66.9,6.1,0.66,657.64,1
CUST-10299,45,Female,Phoenix,107277.79,5,297.27,53.0,4.1,,1690.64,0
