loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,disbursement_date,collateral_type,collateral_value,loan_purpose,origination_channel
LN-200072,CUST-100072,Auto Loan,18142.75,9.51,72,2023-12-20,Vehicle,22121.99,New Car,Digital Portal
LN-200073,CUST-100073,Home Loan,285427.44,7.44,180,2023-08-31,Residential Property,377206.63,Home Purchase,Branch Network
LN-200074,CUST-100074,Auto Loan,17666.46,11.12,72,2023-09-15,Vehicle,20500.98,Commercial Vehicle,Mobile App
LN-200075,CUST-100075,Home Loan,222555.27,8.3,240,2021-11-17,Residential Property,325718.6,Home Construction,Digital Portal
LN-200076,CUST-100076,Personal Loan,22635.42,16.99,24,2021-06-30,None,,Wedding/Travel,Mobile App
LN-200077,CUST-100077,Auto Loan,7626.13,9.19,48,2021-04-29,Vehicle,9883.34,Commercial Vehicle,Digital Portal
LN-200078,CUST-100078,Home Loan,178486.09,7.63,240,2021-01-27,Residential Property,265469.2,Home Construction,Digital Portal
LN-200079,CUST-100079,Business Loan,83676.58,13.61,24,2022-06-09,Commercial Property,118098.46,Working Capital,Digital Portal
LN-200080,CUST-100080,Auto Loan,53252.23,9.6,36,2022-07-25,Vehicle,63335.62,New Car,Digital Portal
LN-200081,CUST-100081,Auto Loan,35627.73,10.2,84,2023-01-22,Vehicle,42712.77,Used Car,Branch Network
LN-200082,CUST-100082,Personal Loan,29613.14,16.52,60,2021-01-19,None,0.0,Home Improvement,Branch Network
LN-200083,CUST-100083,Business Loan,193604.2,12.78,48,2021-03-06,Equipment,278005.01,Business Expansion,Branch Network
LN-200084,CUST-100084,Education Loan,46490.99,10.33,84,2022-06-19,None,,Higher Studies Abroad,Branch Network
LN-200085,CUST-100085,Personal Loan,11676.26,15.47,60,2021-10-08,None,,Medical Emergency,Digital Portal
LN-200086,CUST-100086,Personal Loan,11556.67,18.86,24,2023-12-18,None,0.0,Medical Emergency,Digital Portal
LN-200087,CUST-100087,Home Loan,114494.94,7.29,180,2022-08-01,Residential Property,146866.53,Home Construction,Branch Network
LN-200088,CUST-100088,Auto Loan,32279.08,11.75,36,2022-01-13,Vehicle,40806.66,Commercial Vehicle,Tele-Sales
LN-200089,CUST-100089,Auto Loan,15353.77,9.07,72,2022-06-24,Vehicle,19397.36,Used Car,Branch Network
LN-200090,CUST-100090,Business Loan,70259.86,14.68,36,2021-08-14,None,0.0,Working Capital,Branch Network
LN-200091,CUST-100091,Home Loan,212362.84,7.17,360,2023-12-16,Residential Property,316351.1,Home Construction,Branch Network
LN-200092,CUST-100092,Personal Loan,39286.71,16.7,48,2023-01-05,None,0.0,Medical Emergency,Mobile App
LN-200093,CUST-100093,Home Loan,342875.75,8.54,240,2021-01-14,Residential Property,418347.45,Home Construction,Branch Network
LN-200094,CUST-100094,Auto Loan,42281.96,8.18,72,2021-12-26,Vehicle,47337.37,Used Car,Digital Portal
LN-200095,CUST-100095,Auto Loan,16957.19,8.29,84,2021-04-22,Vehicle,18025.86,Used Car,Branch Network
LN-200096,CUST-100096,Business Loan,45096.04,16.9,24,2021-06-19,Commercial Property,66735.14,Working Capital,Mobile App
LN-200097,CUST-100097,Personal Loan,25989.42,15.18,48,2023-04-16,None,0.0,Medical Emergency,Digital Portal
LN-200098,CUST-100098,Auto Loan,28077.87,10.19,60,2023-03-09,Vehicle,30659.56,Commercial Vehicle,Digital Portal
LN-200099,CUST-100099,Personal Loan,29579.22,19.9,24,2022-05-18,None,0.0,Wedding/Travel,Branch Network
LN-200100,CUST-100100,Business Loan,35649.25,13.04,60,2021-11-15,None,0.0,Equipment Purchase,Digital Portal
LN-200101,CUST-100101,Business Loan,67127.52,16.77,36,2021-10-11,Commercial Property,92560.6,Business Expansion,Branch Network
LN-200102,CUST-100102,Education Loan,38840.1,8.62,48,2023-04-21,None,,Professional Certification,Digital Portal
LN-200103,CUST-100103,Personal Loan,14683.25,18.78,36,2021-06-11,None,0.0,Medical Emergency,Digital Portal
LN-200104,CUST-100104,Education Loan,67563.16,8.1,84,2022-12-04,None,0.0,Professional Certification,Branch Network
LN-200105,CUST-100105,Home Loan,142328.28,7.95,300,2021-05-09,Residential Property,205858.63,Refinancing,Digital Portal
LN-200106,CUST-100106,Education Loan,42541.16,10.86,84,2023-12-20,None,,Higher Studies Abroad,Mobile App
LN-200107,CUST-100107,Auto Loan,20199.77,12.22,48,2021-01-31,Vehicle,24999.63,Commercial Vehicle,Digital Portal
LN-200108,CUST-100108,Home Loan,320545.19,6.49,300,2022-09-18,Residential Property,407969.38,Home Purchase,Branch Network
LN-200109,CUST-100109,Auto Loan,30501.14,9.33,84,2022-04-11,Vehicle,37372.93,Used Car,DSA / Direct Selling Agent
LN-200110,CUST-100110,Personal Loan,13136.88,14.66,24,2023-03-10,None,,Home Improvement,Branch Network
LN-200111,CUST-100111,Personal Loan,13814.62,18.17,48,2023-02-19,None,0.0,Home Improvement,Branch Network
LN-200112,CUST-100112,Auto Loan,20583.2,9.35,48,2021-07-31,Vehicle,23188.04,Commercial Vehicle,Branch Network
LN-200113,CUST-100113,Home Loan,83531.86,7.42,300,2022-12-14,Residential Property,111993.19,Home Construction,Branch Network
LN-200114,CUST-100114,Personal Loan,12301.94,15.05,24,2021-04-07,None,0.0,Wedding/Travel,Branch Network
LN-200115,CUST-100115,Auto Loan,25325.85,11.66,48,2021-06-13,Vehicle,27804.88,Commercial Vehicle,Branch Network
LN-200116,CUST-100116,Home Loan,249215.96,8.74,300,2022-03-27,Residential Property,396802.71,Home Purchase,DSA / Direct Selling Agent
LN-200117,CUST-100117,Auto Loan,23962.7,9.74,84,2023-04-16,Vehicle,25919.16,New Car,Branch Network
LN-200118,CUST-100118,Auto Loan,48201.54,10.03,48,2021-09-01,Vehicle,58298.19,Used Car,Branch Network
LN-200119,CUST-100119,Auto Loan,15735.92,8.88,72,2021-09-26,Vehicle,18255.52,New Car,Digital Portal
LN-200120,CUST-100120,Education Loan,27673.49,10.51,48,2021-06-16,Third Party Guarantee,27673.49,Domestic Degree,Digital Portal
LN-200121,CUST-100121,Business Loan,156944.65,14.07,36,2022-07-25,Equipment,223560.89,Business Expansion,Branch Network
LN-200122,CUST-100122,Personal Loan,8561.54,17.83,48,2023-10-10,None,,Debt Consolidation,Branch Network
LN-200123,CUST-100123,Auto Loan,36907.27,12.16,60,2022-03-05,Vehicle,46689.24,Used Car,Branch Network
LN-200124,CUST-100124,Personal Loan,25978.01,16.9,12,2023-11-21,None,,Debt Consolidation,Digital Portal
LN-200125,CUST-100125,Auto Loan,6151.53,9.22,48,2023-06-08,Vehicle,6726.41,New Car,Branch Network
LN-200126,CUST-100126,Personal Loan,4356.95,20.0,48,2022-03-14,None,,Wedding/Travel,Digital Portal
LN-200127,CUST-100127,Personal Loan,13659.88,15.15,48,2022-03-24,None,0.0,Medical Emergency,Branch Network
LN-200128,CUST-100128,Personal Loan,37184.71,19.46,60,2022-04-29,None,0.0,Debt Consolidation,Branch Network
LN-200129,CUST-100129,Personal Loan,23148.81,16.35,36,2023-08-15,None,,Debt Consolidation,Digital Portal
LN-200130,CUST-100130,Business Loan,66503.01,12.76,48,2023-07-02,None,0.0,Working Capital,Tele-Sales
LN-200131,CUST-100131,Business Loan,83662.8,13.86,48,2021-03-19,None,0.0,Business Expansion,Digital Portal
LN-200132,CUST-100132,Auto Loan,17391.65,10.49,60,2021-09-15,Vehicle,20886.12,New Car,Digital Portal
LN-200133,CUST-100133,Personal Loan,18473.16,20.01,60,2022-07-15,None,0.0,Medical Emergency,Tele-Sales
LN-200134,CUST-100134,Business Loan,177901.95,11.5,24,2022-03-10,Equipment,229173.35,Equipment Purchase,Mobile App
LN-200135,CUST-100135,Business Loan,91194.45,15.78,60,2021-12-29,None,0.0,Working Capital,Branch Network
LN-200136,CUST-100136,Home Loan,333756.64,6.82,180,2023-11-29,Residential Property,515017.62,Home Construction,Digital Portal
LN-200137,CUST-100137,Home Loan,254247.41,7.57,360,2021-12-23,Residential Property,387835.71,Refinancing,Branch Network
LN-200138,CUST-100138,Auto Loan,20283.59,8.29,36,2022-06-01,Vehicle,26217.47,Used Car,Mobile App
LN-200139,CUST-100139,Personal Loan,33522.31,12.94,60,2022-01-03,None,0.0,Home Improvement,Branch Network
LN-200140,CUST-100140,Auto Loan,26254.95,9.43,72,2021-04-27,Vehicle,31672.72,New Car,Digital Portal
LN-200141,CUST-100141,Auto Loan,17373.35,12.51,72,2021-08-01,Vehicle,22067.83,Used Car,Digital Portal
LN-200142,CUST-100142,Auto Loan,42433.63,10.56,48,2021-02-27,Vehicle,52084.98,Used Car,DSA / Direct Selling Agent
LN-200143,CUST-100143,Personal Loan,12555.04,12.98,12,2023-03-24,None,0.0,Home Improvement,Digital Portal
LN-200144,CUST-100144,Business Loan,85309.8,12.35,48,2022-10-05,Inventory,108018.94,Business Expansion,Digital Portal
LN-200145,CUST-100145,Auto Loan,26449.45,10.83,72,2021-08-18,Vehicle,29032.31,Commercial Vehicle,Mobile App
LN-200146,CUST-100146,Personal Loan,35535.07,20.45,36,2022-09-21,None,0.0,Home Improvement,Mobile App
LN-200147,CUST-100147,Auto Loan,20999.31,8.72,36,2022-12-05,Vehicle,23534.13,Used Car,Digital Portal
LN-200148,CUST-100148,Home Loan,410965.52,7.49,240,2022-08-17,Residential Property,566564.86,Home Construction,Digital Portal
LN-200149,CUST-100149,Auto Loan,48115.05,9.11,72,2021-06-19,Vehicle,61741.85,New Car,Digital Portal
LN-200150,CUST-100150,Personal Loan,11835.81,15.28,48,2022-09-07,None,0.0,Medical Emergency,Digital Portal
LN-200151,CUST-100151,Auto Loan,43378.58,11.48,72,2022-01-17,Vehicle,49734.39,Commercial Vehicle,Digital Portal
LN-200152,CUST-100152,Auto Loan,44615.28,8.06,36,2023-08-25,Vehicle,48254.17,Commercial Vehicle,Mobile App
LN-200153,CUST-100153,Auto Loan,21021.88,11.62,36,2021-03-30,Vehicle,24837.09,Used Car,Branch Network
LN-200154,CUST-100154,Auto Loan,23649.32,11.53,48,2023-04-04,Vehicle,25274.2,Used Car,Tele-Sales
LN-200155,CUST-100155,Auto Loan,17184.83,11.13,60,2023-08-09,Vehicle,21705.91,Commercial Vehicle,DSA / Direct Selling Agent
LN-200156,CUST-100156,Home Loan,292497.52,7.94,360,2022-10-30,Residential Property,453064.97,Home Purchase,Digital Portal
LN-200157,CUST-100157,Personal Loan,11686.5,19.41,36,2022-06-24,None,0.0,Debt Consolidation,Digital Portal
LN-200158,CUST-100158,Auto Loan,41038.29,7.91,36,2023-12-30,Vehicle,47642.15,Commercial Vehicle,Digital Portal
LN-200159,CUST-100159,Auto Loan,16736.83,9.08,36,2023-05-18,Vehicle,18801.19,Used Car,Digital Portal
LN-200160,CUST-100160,Personal Loan,11830.62,17.77,24,2022-06-15,None,0.0,Debt Consolidation,Digital Portal
LN-200161,CUST-100161,Home Loan,84274.01,7.49,240,2021-11-11,Residential Property,117904.98,Refinancing,DSA / Direct Selling Agent
LN-200162,CUST-100162,Personal Loan,20062.55,14.4,36,2023-09-26,None,0.0,Medical Emergency,DSA / Direct Selling Agent
LN-200163,CUST-100163,Personal Loan,20214.37,15.48,60,2022-05-25,None,0.0,Debt Consolidation,Digital Portal
LN-200164,CUST-100164,Business Loan,56929.69,16.37,48,2021-05-23,None,0.0,Equipment Purchase,DSA / Direct Selling Agent
LN-200165,CUST-100165,Home Loan,176279.92,6.95,360,2022-06-07,Residential Property,271706.27,Home Purchase,Tele-Sales
LN-200166,CUST-100166,Personal Loan,7785.01,17.33,36,2023-10-14,None,0.0,Medical Emergency,Mobile App
LN-200167,CUST-100167,Personal Loan,16128.91,16.15,60,2021-01-05,None,0.0,Medical Emergency,Branch Network
LN-200168,CUST-100168,Auto Loan,54875.29,12.3,60,2022-08-23,Vehicle,68261.31,New Car,DSA / Direct Selling Agent
LN-200169,CUST-100169,Auto Loan,29928.68,10.76,84,2021-11-22,Vehicle,33300.35,Commercial Vehicle,Branch Network
LN-200170,CUST-100170,Education Loan,57659.86,8.88,48,2023-06-04,Third Party Guarantee,57659.86,Domestic Degree,Tele-Sales
LN-200171,CUST-100171,Business Loan,37340.2,12.03,36,2023-09-18,Commercial Property,54660.49,Business Expansion,Digital Portal
LN-200172,CUST-100172,Personal Loan,9498.68,13.12,60,2021-09-12,None,,Wedding/Travel,Digital Portal
LN-200173,CUST-100173,Personal Loan,36799.02,19.87,36,2022-09-07,None,0.0,Home Improvement,DSA / Direct Selling Agent
LN-200174,CUST-100174,Education Loan,30659.9,11.41,48,2022-01-08,None,0.0,Higher Studies Abroad,Branch Network
LN-200175,CUST-100175,Education Loan,34131.99,10.76,120,2023-02-01,None,,Higher Studies Abroad,Branch Network
LN-200176,CUST-100176,Home Loan,156263.39,7.65,360,2023-08-21,Residential Property,210554.65,Refinancing,Digital Portal
LN-200177,CUST-100177,Home Loan,375068.43,7.77,300,2021-01-22,Residential Property,466337.0,Home Purchase,Branch Network
LN-200178,CUST-100178,Auto Loan,33308.38,11.55,60,2022-06-21,Vehicle,42595.22,New Car,Tele-Sales
LN-200179,CUST-100179,Auto Loan,53124.24,9.78,60,2023-09-24,Vehicle,64403.03,New Car,Digital Portal
LN-200180,CUST-100180,Auto Loan,7953.54,9.91,72,2021-02-24,Vehicle,8582.11,New Car,DSA / Direct Selling Agent
LN-200181,CUST-100181,Business Loan,59846.09,12.62,60,2021-09-11,Equipment,87026.12,Equipment Purchase,Tele-Sales
LN-200182,CUST-100182,Auto Loan,40460.08,9.18,60,2022-04-26,Vehicle,42814.01,Used Car,Digital Portal
LN-200183,CUST-100183,Personal Loan,19453.75,12.13,36,2023-12-21,None,0.0,Medical Emergency,Branch Network
LN-200184,CUST-100184,Personal Loan,15930.8,21.64,36,2021-03-06,None,0.0,Medical Emergency,Digital Portal
LN-200185,CUST-100185,Auto Loan,26388.51,8.29,72,2021-09-13,Vehicle,28312.72,New Car,Digital Portal
LN-200186,CUST-100186,Business Loan,92613.75,10.51,48,2022-03-06,Equipment,138506.48,Equipment Purchase,Branch Network
LN-200187,CUST-100187,Home Loan,68279.18,8.2,240,2023-09-19,Residential Property,104140.86,Home Purchase,Mobile App
LN-200188,CUST-100188,Auto Loan,22565.13,11.48,36,2021-05-31,Vehicle,25257.57,New Car,Branch Network
LN-200189,CUST-100189,Personal Loan,22987.97,20.14,12,2023-09-13,None,0.0,Medical Emergency,Digital Portal
LN-200190,CUST-100190,Home Loan,201920.45,8.52,300,2023-11-30,Residential Property,243579.15,Home Construction,Digital Portal
LN-200191,CUST-100191,Personal Loan,9050.46,17.34,12,2021-09-26,None,0.0,Home Improvement,Mobile App
LN-200192,CUST-100192,Business Loan,35232.21,16.32,60,2021-11-25,Equipment,52079.06,Working Capital,Digital Portal
LN-200193,CUST-100193,Auto Loan,50948.44,10.32,60,2021-08-08,Vehicle,59330.01,New Car,DSA / Direct Selling Agent
LN-200194,CUST-100194,Home Loan,190434.34,7.2,180,2021-12-25,Residential Property,265866.82,Home Construction,DSA / Direct Selling Agent
LN-200195,CUST-100195,Personal Loan,3098.34,18.38,12,2021-10-12,None,,Debt Consolidation,Branch Network
LN-200196,CUST-100196,Home Loan,168219.6,8.52,300,2021-05-07,Residential Property,227493.76,Refinancing,Mobile App
LN-200197,CUST-100197,Personal Loan,6428.11,18.63,12,2023-05-03,None,,Medical Emergency,Digital Portal
LN-200198,CUST-100198,Auto Loan,54055.0,11.42,48,2021-05-08,Vehicle,62569.61,New Car,Digital Portal
LN-200199,CUST-100199,Home Loan,197291.33,7.83,180,2022-11-03,Residential Property,261414.83,Home Construction,Mobile App
LN-200200,CUST-100200,Business Loan,63208.11,13.3,60,2021-12-25,Commercial Property,71835.38,Working Capital,Tele-Sales
LN-200201,CUST-100201,Auto Loan,20793.87,10.96,48,2022-02-22,Vehicle,24725.83,Commercial Vehicle,DSA / Direct Selling Agent
LN-200202,CUST-100202,Auto Loan,37192.75,10.59,72,2023-10-22,Vehicle,42340.21,Commercial Vehicle,Branch Network
LN-200203,CUST-100203,Auto Loan,40376.21,11.58,36,2021-04-24,Vehicle,52170.09,Commercial Vehicle,DSA / Direct Selling Agent
LN-200204,CUST-100204,Home Loan,57775.93,8.25,240,2022-05-03,Residential Property,84508.53,Home Purchase,Mobile App
LN-200205,CUST-100205,Business Loan,107025.08,12.82,24,2022-08-19,Inventory,142304.83,Business Expansion,Branch Network
LN-200206,CUST-100206,Education Loan,21437.75,11.03,48,2022-09-24,None,0.0,Higher Studies Abroad,Mobile App
LN-200207,CUST-100207,Education Loan,36926.01,9.32,84,2023-11-01,None,0.0,Higher Studies Abroad,Branch Network
LN-200208,CUST-100208,Home Loan,207414.56,8.07,180,2023-03-20,Residential Property,260668.22,Refinancing,Digital Portal
LN-200209,CUST-100209,Home Loan,191290.96,7.86,360,2021-08-05,Residential Property,261673.21,Home Construction,Mobile App
LN-200210,CUST-100210,Personal Loan,8131.05,16.1,60,2022-03-22,None,0.0,Medical Emergency,Digital Portal
LN-200211,CUST-100211,Business Loan,64227.58,12.75,24,2022-01-31,Commercial Property,77640.94,Equipment Purchase,Branch Network
LN-200212,CUST-100212,Personal Loan,10291.52,16.98,24,2022-10-08,None,0.0,Medical Emergency,Digital Portal
LN-200213,CUST-100213,Personal Loan,7102.92,17.27,60,2023-12-17,None,,Home Improvement,DSA / Direct Selling Agent
LN-200214,CUST-100214,Personal Loan,14411.52,14.2,60,2023-08-16,None,,Medical Emergency,DSA / Direct Selling Agent
LN-200215,CUST-100215,Business Loan,96312.26,10.73,36,2023-12-11,Inventory,117094.41,Working Capital,Tele-Sales
LN-200216,CUST-100216,Business Loan,155970.4,11.38,60,2021-08-12,Equipment,202777.88,Equipment Purchase,Tele-Sales
LN-200217,CUST-100217,Personal Loan,5666.79,19.86,12,2023-10-26,None,0.0,Home Improvement,Mobile App
LN-200218,CUST-100218,Education Loan,62339.39,10.42,120,2021-02-07,None,0.0,Professional Certification,Mobile App
LN-200219,CUST-100219,Personal Loan,13712.06,16.59,36,2022-04-07,None,0.0,Debt Consolidation,Digital Portal
LN-200220,CUST-100220,Auto Loan,20041.32,11.74,60,2021-10-31,Vehicle,21484.95,New Car,Mobile App
LN-200221,CUST-100221,Home Loan,414992.08,7.48,360,2022-12-11,Residential Property,642494.79,Refinancing,Digital Portal
LN-200222,CUST-100222,Personal Loan,11194.27,13.43,60,2021-04-24,None,,Medical Emergency,Digital Portal
LN-200223,CUST-100223,Auto Loan,26634.22,9.54,60,2022-06-28,Vehicle,32809.23,Commercial Vehicle,Branch Network
LN-200224,CUST-100224,Home Loan,179276.38,7.04,240,2023-05-26,Residential Property,227573.37,Home Purchase,Digital Portal
LN-200225,CUST-100225,Business Loan,174211.98,11.82,60,2021-10-21,None,0.0,Equipment Purchase,Digital Portal
LN-200226,CUST-100226,Personal Loan,11057.37,20.94,60,2023-05-03,None,0.0,Wedding/Travel,Digital Portal
