repayment_id,loan_id,customer_id,total_installments_due,installments_paid,total_amount_paid,principal_paid,interest_paid,last_payment_date,overdue_days,delinquency_bucket,default_flag,default_date
REP-300030,LN-200030,CUST-100030,28,28,2747.55,2052.48,695.07,2024-12-06,0,Current,0,
REP-300031,LN-200031,CUST-100031,17,17,8378.64,6764.13,1614.51,2024-11-24,0,Current,0,
REP-300032,LN-200032,CUST-100032,12,11,11842.07,8111.09,3730.98,2023-03-04,5,1-30 DPD (SMA-0),0,
REP-300033,LN-200033,CUST-100033,36,34,18562.43,13456.21,5106.22,2024-08-08,54,31-60 DPD (SMA-1),0,
REP-300034,LN-200034,CUST-100034,12,11,16677.51,12771.91,3905.6,2023-02-07,3,1-30 DPD (SMA-0),0,
REP-300035,LN-200035,CUST-100035,24,22,8718.24,6199.46,2518.78,2024-03-14,45,31-60 DPD (SMA-1),0,
REP-300036,LN-200036,CUST-100036,33,33,12350.32,9683.2,2667.12,2024-12-04,0,Current,0,
REP-300037,LN-200037,CUST-100037,31,31,35434.97,28630.99,6803.98,2024-12-02,0,Current,0,
REP-300038,LN-200038,CUST-100038,29,27,5432.21,4034.34,1397.87,2024-09-19,49,31-60 DPD (SMA-1),0,
REP-300039,LN-200039,CUST-100039,41,41,3568.83,2647.61,921.22,2024-12-11,0,Current,0,
REP-300040,LN-200040,CUST-100040,34,34,11989.84,9772.77,2217.07,2024-12-09,0,Current,0,
REP-300041,LN-200041,CUST-100041,46,43,14928.7,10381.29,4547.41,2024-08-23,64,61-90 DPD (SMA-2),0,
REP-300042,LN-200042,CUST-100042,34,34,10513.0,7932.0,2581.0,2024-12-03,0,Current,0,
REP-300043,LN-200043,CUST-100043,24,24,12748.89,9651.62,3097.27,2024-03-01,0,Current,0,
REP-300044,LN-200044,CUST-100044,20,20,27858.88,19898.93,7959.95,2024-12-17,0,Current,0,
REP-300045,LN-200045,CUST-100045,26,25,19593.14,14342.21,5250.93,2024-10-22,13,1-30 DPD (SMA-0),0,
REP-300046,LN-200046,CUST-100046,32,31,21217.28,15439.22,5778.06,2024-10-31,18,1-30 DPD (SMA-0),0,
REP-300047,LN-200047,CUST-100047,42,42,70987.36,56971.43,14015.93,2024-11-24,0,Current,0,
REP-300048,LN-200048,CUST-100048,31,31,133080.12,92367.53,40712.59,2024-11-27,0,Current,0,
REP-300049,LN-200049,CUST-100049,26,26,72210.13,49196.96,23013.17,2024-12-10,0,Current,0,
REP-300050,LN-200050,CUST-100050,26,26,50603.85,35104.3,15499.55,2024-11-24,0,Current,0,
REP-300051,LN-200051,CUST-100051,24,22,17242.39,13990.45,3251.94,2022-12-22,54,31-60 DPD (SMA-1),0,
REP-300052,LN-200052,CUST-100052,26,26,19591.17,14983.02,4608.15,2024-12-08,0,Current,0,
REP-300053,LN-200053,CUST-100053,39,38,13784.23,10125.64,3658.59,2024-11-12,24,1-30 DPD (SMA-0),0,
REP-300054,LN-200054,CUST-100054,39,39,14583.11,10235.39,4347.72,2024-12-03,0,Current,0,
REP-300055,LN-200055,CUST-100055,30,29,40390.04,32690.78,7699.26,2024-11-16,17,1-30 DPD (SMA-0),0,
REP-300056,LN-200056,CUST-100056,23,23,27471.9,21764.61,5707.29,2024-11-28,0,Current,0,
REP-300057,LN-200057,CUST-100057,27,27,36763.23,26051.65,10711.58,2024-12-08,0,Current,0,
REP-300058,LN-200058,CUST-100058,12,12,11557.92,8144.14,3413.78,2022-01-31,0,Current,0,
REP-300059,LN-200059,CUST-100059,21,21,11230.11,8472.06,2758.05,2024-12-12,0,Current,0,
REP-300060,LN-200060,CUST-100060,37,36,50767.17,35373.95,15393.22,2024-10-26,30,1-30 DPD (SMA-0),0,
REP-300061,LN-200061,CUST-100061,18,15,18629.49,13611.27,5018.22,2024-09-06,66,61-90 DPD (SMA-2),0,
REP-300062,LN-200062,CUST-100062,15,15,27385.02,19615.36,7769.66,2024-12-08,0,Current,0,
REP-300063,LN-200063,CUST-100063,27,27,25343.87,17702.57,7641.3,2024-12-16,0,Current,0,
REP-300064,LN-200064,CUST-100064,15,14,4571.13,3269.06,1302.07,2024-10-28,2,1-30 DPD (SMA-0),0,
REP-300065,LN-200065,CUST-100065,42,40,19209.11,13458.57,5750.54,2024-09-25,44,31-60 DPD (SMA-1),0,
REP-300066,LN-200066,CUST-100066,12,12,4419.13,3175.19,1243.94,2024-12-02,0,Current,0,
REP-300067,LN-200067,CUST-100067,24,24,4990.81,4037.28,953.53,2024-11-23,0,Current,0,
REP-300068,LN-200068,CUST-100068,36,36,33327.44,23406.6,9920.84,2024-08-27,0,Current,0,
REP-300069,LN-200069,CUST-100069,22,20,8410.83,6449.16,1961.67,2024-09-26,56,31-60 DPD (SMA-1),0,
REP-300070,LN-200070,CUST-100070,45,44,17877.66,13466.8,4410.86,2024-11-01,12,1-30 DPD (SMA-0),0,
REP-300071,LN-200071,CUST-100071,36,36,21087.37,16629.4,4457.97,2024-11-16,0,Current,0,
REP-300072,LN-200072,CUST-100072,12,12,3979.73,3248.61,731.12,2024-12-14,0,Current,0,
REP-300073,LN-200073,CUST-100073,16,16,42179.6,31195.59,10984.01,2024-12-23,0,Current,0,
REP-300074,LN-200074,CUST-100074,15,14,4722.92,3430.27,1292.65,2024-11-08,10,1-30 DPD (SMA-0),0,
REP-300075,LN-200075,CUST-100075,37,37,70422.38,50192.12,20230.26,2024-12-01,0,Current,0,
REP-300076,LN-200076,CUST-100076,24,23,25737.87,18603.26,7134.61,2023-05-21,20,1-30 DPD (SMA-0),0,
REP-300077,LN-200077,CUST-100077,44,13,2476.05,2017.42,458.63,2022-05-24,387,90+ DPD (NPA / Default),1,2022-08-22
REP-300078,LN-200078,CUST-100078,47,46,66796.28,49622.65,17173.63,2024-11-07,10,1-30 DPD (SMA-0),0,
REP-300079,LN-200079,CUST-100079,24,24,96051.71,78256.94,17794.77,2024-05-29,0,Current,0,
REP-300080,LN-200080,CUST-100080,29,29,49541.18,38968.71,10572.47,2024-12-11,0,Current,0,
REP-300081,LN-200081,CUST-100081,23,23,13688.47,11062.95,2625.52,2024-12-12,0,Current,0,
REP-300082,LN-200082,CUST-100082,47,47,34232.05,26921.33,7310.72,2024-11-29,0,Current,0,
REP-300083,LN-200083,CUST-100083,45,44,227603.24,158175.97,69427.27,2024-10-16,19,1-30 DPD (SMA-0),0,
REP-300084,LN-200084,CUST-100084,30,30,23392.67,17427.33,5965.34,2024-12-05,0,Current,0,
REP-300085,LN-200085,CUST-100085,38,36,10103.99,7342.38,2761.61,2024-09-22,49,31-60 DPD (SMA-1),0,
REP-300086,LN-200086,CUST-100086,12,10,5817.7,4319.15,1498.55,2024-10-13,34,31-60 DPD (SMA-1),0,
REP-300087,LN-200087,CUST-100087,28,27,28289.66,21361.99,6927.67,2024-10-19,12,1-30 DPD (SMA-0),0,
REP-300088,LN-200088,CUST-100088,35,34,36321.42,28996.64,7324.78,2024-10-29,25,1-30 DPD (SMA-0),0,
REP-300089,LN-200089,CUST-100089,30,30,8318.81,6717.03,1601.78,2024-12-10,0,Current,0,
REP-300090,LN-200090,CUST-100090,36,33,80011.32,64596.78,15414.54,2024-04-30,89,61-90 DPD (SMA-2),0,
REP-300091,LN-200091,CUST-100091,12,12,17246.2,12622.99,4623.21,2024-12-10,0,Current,0,
REP-300092,LN-200092,CUST-100092,23,23,25933.22,18485.77,7447.45,2024-11-25,0,Current,0,
REP-300093,LN-200093,CUST-100093,47,47,140259.35,98103.16,42156.19,2024-11-24,0,Current,0,
REP-300094,LN-200094,CUST-100094,36,36,26822.21,21113.75,5708.46,2024-12-10,0,Current,0,
REP-300095,LN-200095,CUST-100095,44,44,11737.22,9460.19,2277.03,2024-12-02,0,Current,0,
REP-300096,LN-200096,CUST-100096,24,21,46777.17,32479.71,14297.46,2023-03-11,80,61-90 DPD (SMA-2),0,
REP-300097,LN-200097,CUST-100097,20,19,13787.89,10553.6,3234.29,2024-11-06,16,1-30 DPD (SMA-0),0,
REP-300098,LN-200098,CUST-100098,21,21,12583.2,8773.0,3810.2,2024-11-28,0,Current,0,
REP-300099,LN-200099,CUST-100099,24,21,31584.28,21912.15,9672.13,2024-02-07,82,61-90 DPD (SMA-2),0,
REP-300100,LN-200100,CUST-100100,37,37,30038.83,23349.58,6689.25,2024-11-29,0,Current,0,
REP-300101,LN-200101,CUST-100101,36,8,19084.82,15130.28,3954.54,2022-06-08,271,90+ DPD (NPA / Default),1,2022-09-06
REP-300102,LN-200102,CUST-100102,20,19,18231.35,14834.17,3397.18,2024-11-11,6,1-30 DPD (SMA-0),0,
REP-300103,LN-200103,CUST-100103,36,14,7512.37,5571.66,1940.71,2022-08-05,539,90+ DPD (NPA / Default),1,2022-11-03
REP-300104,LN-200104,CUST-100104,24,24,25354.16,19572.27,5781.89,2024-11-23,0,Current,0,
REP-300105,LN-200105,CUST-100105,43,43,47033.51,35184.62,11848.89,2024-11-19,0,Current,0,
REP-300106,LN-200106,CUST-100106,12,12,8703.37,6557.41,2145.96,2024-12-14,0,Current,0,
REP-300107,LN-200107,CUST-100107,47,45,24035.49,17392.3,6643.19,2024-10-12,44,31-60 DPD (SMA-1),0,
REP-300108,LN-200108,CUST-100108,27,27,58383.22,46508.37,11874.85,2024-12-06,0,Current,0,
REP-300109,LN-200109,CUST-100109,32,32,15867.48,11873.91,3993.57,2024-11-26,0,Current,0,
REP-300110,LN-200110,CUST-100110,21,20,12696.86,9101.84,3595.02,2024-10-30,25,1-30 DPD (SMA-0),0,
REP-300111,LN-200111,CUST-100111,22,21,8547.69,6823.08,1724.61,2024-11-10,17,1-30 DPD (SMA-0),0,
REP-300112,LN-200112,CUST-100112,41,41,21141.3,14403.87,6737.43,2024-12-12,0,Current,0,
REP-300113,LN-200113,CUST-100113,24,24,14710.87,10785.9,3924.97,2024-12-03,0,Current,0,
REP-300114,LN-200114,CUST-100114,24,23,13725.76,11240.78,2484.98,2023-02-26,8,1-30 DPD (SMA-0),0,
REP-300115,LN-200115,CUST-100115,42,41,27170.98,19299.66,7871.32,2024-10-25,3,1-30 DPD (SMA-0),0,
REP-300116,LN-200116,CUST-100116,33,33,67558.27,53911.95,13646.32,2024-12-11,0,Current,0,
REP-300117,LN-200117,CUST-100117,20,20,7891.95,5786.03,2105.92,2024-12-06,0,Current,0,
REP-300118,LN-200118,CUST-100118,39,39,47705.2,36657.85,11047.35,2024-11-14,0,Current,0,
REP-300119,LN-200119,CUST-100119,39,39,11025.77,8794.4,2231.37,2024-12-09,0,Current,0,
REP-300120,LN-200120,CUST-100120,42,42,29764.08,24357.43,5406.65,2024-11-27,0,Current,0,
REP-300121,LN-200121,CUST-100121,29,27,144972.01,99088.23,45883.78,2024-10-12,48,31-60 DPD (SMA-1),0,
REP-300122,LN-200122,CUST-100122,14,14,3510.29,2462.28,1048.01,2024-12-03,0,Current,0,
REP-300123,LN-200123,CUST-100123,33,32,26367.01,18603.28,7763.73,2024-10-20,1,1-30 DPD (SMA-0),0,
REP-300124,LN-200124,CUST-100124,12,12,28417.02,22801.24,5615.78,2024-11-15,0,Current,0,
REP-300125,LN-200125,CUST-100125,18,17,2613.32,1817.1,796.22,2024-10-30,1,1-30 DPD (SMA-0),0,
REP-300126,LN-200126,CUST-100126,33,31,4110.09,3301.76,808.33,2024-09-29,60,31-60 DPD (SMA-1),0,
REP-300127,LN-200127,CUST-100127,33,33,12579.74,8581.26,3998.48,2024-12-08,0,Current,0,
REP-300128,LN-200128,CUST-100128,32,31,30194.87,24709.29,5485.58,2024-11-14,12,1-30 DPD (SMA-0),0,
REP-300129,LN-200129,CUST-100129,16,16,13085.59,10307.84,2777.75,2024-12-07,0,Current,0,
REP-300130,LN-200130,CUST-100130,17,15,26642.97,21421.91,5221.06,2024-09-24,38,31-60 DPD (SMA-1),0,
REP-300131,LN-200131,CUST-100131,45,42,95774.21,69084.24,26689.97,2024-08-30,88,61-90 DPD (SMA-2),0,
REP-300132,LN-200132,CUST-100132,39,38,14201.67,10944.43,3257.24,2024-10-29,12,1-30 DPD (SMA-0),0,
REP-300133,LN-200133,CUST-100133,29,29,14196.33,10668.28,3528.05,2024-12-01,0,Current,0,
REP-300134,LN-200134,CUST-100134,24,23,191658.62,147662.84,43995.78,2024-01-29,20,1-30 DPD (SMA-0),0,
REP-300135,LN-200135,CUST-100135,36,36,79452.93,61097.62,18355.31,2024-12-13,0,Current,0,
REP-300136,LN-200136,CUST-100136,13,13,38563.36,27826.36,10737.0,2024-12-23,0,Current,0,
REP-300137,LN-200137,CUST-100137,36,36,64437.75,47512.65,16925.1,2024-12-07,0,Current,0,
REP-300138,LN-200138,CUST-100138,30,30,19149.93,13984.46,5165.47,2024-11-17,0,Current,0,
REP-300139,LN-200139,CUST-100139,35,33,25136.31,19909.79,5226.52,2024-09-19,40,31-60 DPD (SMA-1),0,
REP-300140,LN-200140,CUST-100140,44,44,21070.81,17187.41,3883.4,2024-12-07,0,Current,0,
REP-300141,LN-200141,CUST-100141,40,39,13426.83,10617.7,2809.13,2024-10-14,3,1-30 DPD (SMA-0),0,
REP-300142,LN-200142,CUST-100142,46,46,50033.02,40056.71,9976.31,2024-12-08,0,Current,0,
REP-300143,LN-200143,CUST-100143,12,10,11212.64,8384.65,2827.99,2024-01-18,57,31-60 DPD (SMA-1),0,
REP-300144,LN-200144,CUST-100144,26,23,52008.11,39185.1,12823.01,2024-08-25,76,61-90 DPD (SMA-2),0,
REP-300145,LN-200145,CUST-100145,40,38,19043.35,15449.69,3593.66,2024-10-01,50,31-60 DPD (SMA-1),0,
REP-300146,LN-200146,CUST-100146,27,25,33219.31,23900.83,9318.48,2024-10-10,45,31-60 DPD (SMA-1),0,
REP-300147,LN-200147,CUST-100147,24,24,15960.94,12671.56,3289.38,2024-11-24,0,Current,0,
REP-300148,LN-200148,CUST-100148,28,28,92629.54,72949.5,19680.04,2024-12-04,0,Current,0,
REP-300149,LN-200149,CUST-100149,42,42,36537.01,28578.84,7958.17,2024-11-30,0,Current,0,
REP-300150,LN-200150,CUST-100150,27,27,8939.21,6650.62,2288.59,2024-11-25,0,Current,0,
REP-300151,LN-200151,CUST-100151,35,35,29273.13,21869.23,7403.9,2024-12-02,0,Current,0,
REP-300152,LN-200152,CUST-100152,16,16,22389.06,16302.72,6086.34,2024-12-17,0,Current,0,
REP-300153,LN-200153,CUST-100153,36,35,24304.63,18434.8,5869.83,2024-02-13,17,1-30 DPD (SMA-0),0,
REP-300154,LN-200154,CUST-100154,20,18,11112.01,8267.13,2844.88,2024-09-25,45,31-60 DPD (SMA-1),0,
REP-300155,LN-200155,CUST-100155,16,15,5621.32,4329.73,1291.59,2024-11-01,17,1-30 DPD (SMA-0),0,
REP-300156,LN-200156,CUST-100156,26,26,55484.56,40210.39,15274.17,2024-12-18,0,Current,0,
REP-300157,LN-200157,CUST-100157,30,29,12493.4,9170.37,3323.03,2024-11-10,20,1-30 DPD (SMA-0),0,
REP-300158,LN-200158,CUST-100158,12,12,15411.45,12137.65,3273.8,2024-12-24,0,Current,0,
REP-300159,LN-200159,CUST-100159,19,19,10124.15,7432.09,2692.06,2024-12-08,0,Current,0,
REP-300160,LN-200160,CUST-100160,24,21,12375.7,9804.19,2571.51,2024-03-06,66,61-90 DPD (SMA-2),0,
REP-300161,LN-200161,CUST-100161,37,37,25100.45,19986.73,5113.72,2024-11-25,0,Current,0,
REP-300162,LN-200162,CUST-100162,15,15,10343.92,7473.14,2870.78,2024-12-19,0,Current,0,
REP-300163,LN-200163,CUST-100163,31,29,14094.19,11243.2,2850.99,2024-10-11,53,31-60 DPD (SMA-1),0,
REP-300164,LN-200164,CUST-100164,43,41,66592.68,49940.27,16652.41,2024-10-04,37,31-60 DPD (SMA-1),0,
REP-300165,LN-200165,CUST-100165,30,30,35006.44,26562.92,8443.52,2024-11-23,0,Current,0,
REP-300166,LN-200166,CUST-100166,14,12,3346.05,2484.76,861.29,2024-10-08,35,31-60 DPD (SMA-1),0,
REP-300167,LN-200167,CUST-100167,47,44,17314.46,12257.78,5056.68,2024-08-17,76,61-90 DPD (SMA-2),0,
REP-300168,LN-200168,CUST-100168,28,26,31954.15,25169.6,6784.55,2024-10-11,44,31-60 DPD (SMA-1),0,
REP-300169,LN-200169,CUST-100169,37,35,17803.91,12312.54,5491.37,2024-10-07,53,31-60 DPD (SMA-1),0,
REP-300170,LN-200170,CUST-100170,18,18,25768.53,19110.33,6658.2,2024-11-25,0,Current,0,
REP-300171,LN-200171,CUST-100171,15,14,17370.7,12651.65,4719.05,2024-11-11,22,1-30 DPD (SMA-0),0,
REP-300172,LN-200172,CUST-100172,39,39,8451.62,6277.9,2173.72,2024-11-25,0,Current,0,
REP-300173,LN-200173,CUST-100173,27,26,35493.83,28491.72,7002.11,2024-10-26,20,1-30 DPD (SMA-0),0,
REP-300174,LN-200174,CUST-100174,35,34,27150.35,19409.68,7740.67,2024-10-24,16,1-30 DPD (SMA-0),0,
REP-300175,LN-200175,CUST-100175,22,22,10241.95,8322.04,1919.91,2024-11-22,0,Current,0,
REP-300176,LN-200176,CUST-100176,16,16,17739.38,13834.33,3905.05,2024-12-13,0,Current,0,
REP-300177,LN-200177,CUST-100177,47,47,133382.54,106204.25,27178.29,2024-12-02,0,Current,0,
REP-300178,LN-200178,CUST-100178,30,30,22001.23,15577.24,6423.99,2024-12-07,0,Current,0,
REP-300179,LN-200179,CUST-100179,15,14,15721.87,12519.06,3202.81,2024-11-17,18,1-30 DPD (SMA-0),0,
REP-300180,LN-200180,CUST-100180,46,46,6761.32,5389.65,1371.67,2024-12-05,0,Current,0,
REP-300181,LN-200181,CUST-100181,39,39,52652.7,37798.93,14853.77,2024-11-24,0,Current,0,
REP-300182,LN-200182,CUST-100182,32,32,26989.56,21600.17,5389.39,2024-12-11,0,Current,0,
REP-300183,LN-200183,CUST-100183,12,12,7768.22,6204.34,1563.88,2024-12-15,0,Current,0,
REP-300184,LN-200184,CUST-100184,36,33,19979.57,15464.03,4515.54,2023-11-21,68,61-90 DPD (SMA-2),0,
REP-300185,LN-200185,CUST-100185,39,39,18190.44,14594.24,3596.2,2024-11-26,0,Current,0,
REP-300186,LN-200186,CUST-100186,33,32,75893.51,53865.47,22028.04,2024-10-21,9,1-30 DPD (SMA-0),0,
REP-300187,LN-200187,CUST-100187,15,14,8114.99,5806.28,2308.71,2024-11-12,30,1-30 DPD (SMA-0),0,
REP-300188,LN-200188,CUST-100188,36,36,26780.16,21340.03,5440.13,2024-05-15,0,Current,0,
REP-300189,LN-200189,CUST-100189,12,9,19179.18,13625.23,5553.95,2024-06-09,66,61-90 DPD (SMA-2),0,
REP-300190,LN-200190,CUST-100190,13,12,19543.69,14872.92,4670.77,2024-11-24,6,1-30 DPD (SMA-0),0,
REP-300191,LN-200191,CUST-100191,12,11,9095.97,6908.49,2187.48,2022-08-22,19,1-30 DPD (SMA-0),0,
REP-300192,LN-200192,CUST-100192,37,20,17255.62,11938.38,5317.24,2023-07-18,329,90+ DPD (NPA / Default),1,2023-10-16
REP-300193,LN-200193,CUST-100193,40,37,40350.1,31171.65,9178.45,2024-08-22,62,61-90 DPD (SMA-2),0,
REP-300194,LN-200194,CUST-100194,36,36,62389.49,47022.38,15367.11,2024-12-09,0,Current,0,
REP-300195,LN-200195,CUST-100195,12,6,1707.7,1377.45,330.25,2022-04-10,472,90+ DPD (NPA / Default),1,2022-07-09
REP-300196,LN-200196,CUST-100196,43,42,56986.35,44021.2,12965.15,2024-10-18,2,1-30 DPD (SMA-0),0,
REP-300197,LN-200197,CUST-100197,12,4,2365.03,1807.97,557.06,2023-08-31,219,90+ DPD (NPA / Default),1,2023-11-29
REP-300198,LN-200198,CUST-100198,43,43,60549.62,47455.38,13094.24,2024-11-18,0,Current,0,
REP-300199,LN-200199,CUST-100199,25,24,44786.58,31909.48,12877.1,2024-10-23,11,1-30 DPD (SMA-0),0,
REP-300200,LN-200200,CUST-100200,36,12,17374.85,12716.94,4657.91,2022-12-20,386,90+ DPD (NPA / Default),1,2023-03-20
REP-300201,LN-200201,CUST-100201,34,34,18258.84,13084.09,5174.75,2024-12-08,0,Current,0,
REP-300202,LN-200202,CUST-100202,14,14,9802.02,7123.09,2678.93,2024-12-15,0,Current,0,
REP-300203,LN-200203,CUST-100203,36,36,47987.38,37493.2,10494.18,2024-04-08,0,Current,0,
REP-300204,LN-200204,CUST-100204,31,30,14768.67,11656.99,3111.68,2024-10-19,4,1-30 DPD (SMA-0),0,
REP-300205,LN-200205,CUST-100205,24,24,121898.96,93798.75,28100.21,2024-08-08,0,Current,0,
REP-300206,LN-200206,CUST-100206,27,25,13859.56,10016.16,3843.4,2024-10-13,58,31-60 DPD (SMA-1),0,
REP-300207,LN-200207,CUST-100207,13,13,7801.56,6184.07,1617.49,2024-11-25,0,Current,0,
REP-300208,LN-200208,CUST-100208,21,20,39811.05,27756.46,12054.59,2024-11-09,19,1-30 DPD (SMA-0),0,
REP-300209,LN-200209,CUST-100209,40,40,55400.04,44279.38,11120.66,2024-11-17,0,Current,0,
REP-300210,LN-200210,CUST-100210,33,33,6539.4,4900.14,1639.26,2024-12-06,0,Current,0,
REP-300211,LN-200211,CUST-100211,24,24,73103.03,58858.48,14244.55,2024-01-21,0,Current,0,
REP-300212,LN-200212,CUST-100212,24,21,10683.48,7311.01,3372.47,2024-06-29,62,61-90 DPD (SMA-2),0,
REP-300213,LN-200213,CUST-100213,12,12,2130.7,1649.78,480.92,2024-12-11,0,Current,0,
REP-300214,LN-200214,CUST-100214,16,16,5389.23,4152.4,1236.83,2024-12-08,0,Current,0,
REP-300215,LN-200215,CUST-100215,12,11,34549.23,27033.51,7515.72,2024-11-05,1,1-30 DPD (SMA-0),0,
REP-300216,LN-200216,CUST-100216,40,39,133411.48,92558.39,40853.09,2024-10-25,17,1-30 DPD (SMA-0),0,
REP-300217,LN-200217,CUST-100217,12,12,6294.73,5155.14,1139.59,2024-10-20,0,Current,0,
REP-300218,LN-200218,CUST-100218,46,46,38565.78,29464.32,9101.46,2024-11-18,0,Current,0,
REP-300219,LN-200219,CUST-100219,32,32,15554.53,12233.59,3320.94,2024-11-22,0,Current,0,
REP-300220,LN-200220,CUST-100220,38,37,16397.64,13108.82,3288.82,2024-11-14,22,1-30 DPD (SMA-0),0,
REP-300221,LN-200221,CUST-100221,24,24,69504.09,47962.2,21541.89,2024-11-30,0,Current,0,
REP-300222,LN-200222,CUST-100222,44,44,11315.7,8565.13,2750.57,2024-12-04,0,Current,0,
REP-300223,LN-200223,CUST-100223,30,30,16796.67,12557.08,4239.59,2024-12-14,0,Current,0,
REP-300224,LN-200224,CUST-100224,19,18,25096.24,19748.02,5348.22,2024-11-16,8,1-30 DPD (SMA-0),0,
REP-300225,LN-200225,CUST-100225,38,5,19297.11,15081.95,4215.16,2022-03-20,536,90+ DPD (NPA / Default),1,2022-06-18
REP-300226,LN-200226,CUST-100226,19,18,5377.79,3897.63,1480.16,2024-10-24,1,1-30 DPD (SMA-0),0,
REP-300227,LN-200227,CUST-100227,43,43,143065.2,99019.5,44045.7,2024-11-11,0,Current,0,
REP-300228,LN-200228,CUST-100228,13,12,5349.01,3837.07,1511.94,2024-11-09,19,1-30 DPD (SMA-0),0,
REP-300229,LN-200229,CUST-100229,19,19,11510.2,9098.67,2411.53,2024-11-27,0,Current,0,
REP-300230,LN-200230,CUST-100230,23,20,3194.37,2372.11,822.26,2024-09-06,89,61-90 DPD (SMA-2),0,
REP-300231,LN-200231,CUST-100231,34,34,81480.38,59128.99,22351.39,2024-11-27,0,Current,0,
REP-300232,LN-200232,CUST-100232,15,15,18990.74,15252.82,3737.92,2024-12-06,0,Current,0,
REP-300233,LN-200233,CUST-100233,14,13,3425.13,2603.53,821.6,2024-11-01,13,1-30 DPD (SMA-0),0,
REP-300234,LN-200234,CUST-100234,12,12,10755.79,8409.17,2346.62,2024-12-02,0,Current,0,
REP-300235,LN-200235,CUST-100235,34,34,18883.63,15305.16,3578.47,2024-11-28,0,Current,0,
REP-300236,LN-200236,CUST-100236,29,27,3312.88,2536.82,776.06,2024-09-20,38,31-60 DPD (SMA-1),0,
